epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6431,4.1532,4.91897,4.32015,0.0007,0.02044,0.00048,0.00016,4.68516,4.5417,4.16118,0.00323529,0.00323529,0.00323529
2,46.4366,4.14403,4.89055,4.28649,0.00069,0.01924,0.00045,0.00016,4.68651,4.5434,4.16396,0.00654695,0.00654695,0.00654695
3,68.4031,4.11769,4.68022,4.1814,0.00063,0.02084,0.00049,0.00016,4.62472,4.47611,4.13539,0.00983661,0.00983661,0.00983661
4,91.0492,3.23302,3.53298,3.44068,0.0042,0.02813,0.00118,0.00042,nan,nan,nan,0.009901,0.009901,0.009901
5,113.252,2.80912,2.94949,2.95866,0.40287,0.05107,0.00116,0.00041,3.3645,inf,4.89358,0.009868,0.009868,0.009868
6,135.148,2.61233,2.63831,2.68986,0.42303,0.04409,0.02161,0.00671,2.74691,11.9102,3.21093,0.009835,0.009835,0.009835
7,156.983,2.4541,2.41335,2.51421,0.67666,0.09158,0.06354,0.02639,2.31617,2.66064,2.39107,0.009802,0.009802,0.009802
8,178.806,2.29533,2.21929,2.34494,0.68213,0.1,0.09606,0.04211,2.17429,2.90546,2.32681,0.009769,0.009769,0.009769
9,200.602,2.15313,2.05065,2.18354,0.66093,0.13577,0.1827,0.07237,2.19445,2.16334,2.21488,0.009736,0.009736,0.009736
10,222.382,2.06672,1.94641,2.07697,0.67066,0.21766,0.24637,0.11559,1.88258,1.88279,1.97561,0.009703,0.009703,0.009703
11,244.159,1.96358,1.83647,1.97422,0.7055,0.23572,0.27336,0.12947,1.89871,1.79955,1.91875,0.00967,0.00967,0.00967
12,265.939,1.91459,1.77227,1.90203,0.6212,0.22296,0.26961,0.13742,1.84256,1.96903,1.90491,0.009637,0.009637,0.009637
13,287.713,1.84836,1.68533,1.82017,0.59914,0.30444,0.33184,0.17668,1.67505,1.56333,1.71475,0.009604,0.009604,0.009604
14,309.445,1.78667,1.60926,1.75422,0.61129,0.26699,0.27979,0.13463,1.76446,2.16052,1.78365,0.009571,0.009571,0.009571
15,331.199,1.75311,1.56155,1.72919,0.9055,0.31081,0.36747,0.19303,1.62865,1.5469,1.64025,0.009538,0.009538,0.009538
16,353.013,1.7274,1.5216,1.69248,0.67781,0.33594,0.35891,0.18546,1.63076,1.46401,1.64553,0.009505,0.009505,0.009505
17,374.792,1.69409,1.49152,1.66211,0.80453,0.22,0.27223,0.14565,1.80179,1.90254,1.82332,0.009472,0.009472,0.009472
18,396.655,1.66366,1.45295,1.6323,0.75188,0.31401,0.35166,0.18773,1.63998,1.44991,1.65936,0.009439,0.009439,0.009439
19,418.341,1.6318,1.4095,1.60908,0.65071,0.37597,0.39247,0.21551,1.52457,1.27528,1.52793,0.009406,0.009406,0.009406
20,440.046,1.59881,1.36908,1.57377,0.76351,0.36644,0.40418,0.23322,1.44916,1.19723,1.49942,0.009373,0.009373,0.009373
21,461.734,1.56961,1.33511,1.549,0.79184,0.34741,0.40676,0.22889,1.44264,1.19832,1.45563,0.00934,0.00934,0.00934
22,483.488,1.565,1.3205,1.5411,0.67599,0.36933,0.39186,0.2124,1.50163,1.56565,1.51114,0.009307,0.009307,0.009307
23,505.21,1.54658,1.29783,1.51295,0.69747,0.40409,0.4148,0.22884,1.46175,1.14589,1.43467,0.009274,0.009274,0.009274
24,526.88,1.51882,1.24984,1.48617,0.69398,0.39688,0.43533,0.23259,1.49871,1.17782,1.47936,0.009241,0.009241,0.009241
25,548.607,1.51571,1.25559,1.49167,0.6809,0.43185,0.4456,0.24876,1.38178,1.10854,1.38616,0.009208,0.009208,0.009208
26,570.365,1.48101,1.20897,1.45519,0.681,0.37467,0.40826,0.20812,1.53941,1.46156,1.49408,0.009175,0.009175,0.009175
27,592.173,1.49668,1.23671,1.47558,0.61951,0.43854,0.47375,0.26099,1.34221,1.12321,1.38112,0.009142,0.009142,0.009142
28,613.853,1.45546,1.18396,1.43907,0.67482,0.43258,0.44453,0.24711,1.38284,1.11314,1.41223,0.009109,0.009109,0.009109
29,635.596,1.46268,1.18542,1.44211,0.57366,0.44442,0.47475,0.25543,1.40039,1.14877,1.39193,0.009076,0.009076,0.009076
30,657.322,1.43905,1.17843,1.42346,0.53486,0.45461,0.44411,0.24493,1.43093,1.29982,1.43702,0.009043,0.009043,0.009043
31,679.022,1.42378,1.15731,1.4123,0.54086,0.53053,0.50509,0.28014,1.33691,1.02584,1.34476,0.00901,0.00901,0.00901
32,700.773,1.41432,1.13244,1.39192,0.59745,0.52739,0.50566,0.27702,1.33385,1.05687,1.35954,0.008977,0.008977,0.008977
33,722.409,1.40595,1.13303,1.39875,0.66304,0.47956,0.51268,0.28583,1.30332,0.97493,1.3259,0.008944,0.008944,0.008944
34,744.112,1.40041,1.11116,1.38209,0.62444,0.4792,0.52533,0.2864,1.32284,1.09301,1.3465,0.008911,0.008911,0.008911
35,765.801,1.39045,1.10187,1.3883,0.5671,0.50999,0.49853,0.27415,1.32806,1.14579,1.36175,0.008878,0.008878,0.008878
36,787.505,1.36857,1.07765,1.36157,0.53189,0.52712,0.55013,0.30208,1.30164,0.98071,1.32249,0.008845,0.008845,0.008845
37,809.217,1.37014,1.09114,1.3803,0.5304,0.46402,0.47163,0.27228,1.32906,1.07098,1.34924,0.008812,0.008812,0.008812
38,830.91,1.36447,1.06635,1.36412,0.60114,0.47826,0.49972,0.27988,1.34636,1.02829,1.33071,0.008779,0.008779,0.008779
39,852.595,1.35776,1.06678,1.355,0.62911,0.53695,0.55256,0.29799,1.29483,0.97219,1.30248,0.008746,0.008746,0.008746
40,874.24,1.36102,1.05878,1.35948,0.57305,0.53041,0.53879,0.29376,1.24302,0.94804,1.2826,0.008713,0.008713,0.008713
41,895.872,1.34323,1.05336,1.35374,0.59413,0.53675,0.54476,0.30358,1.27693,0.96853,1.30049,0.00868,0.00868,0.00868
42,917.556,1.3305,1.03238,1.33566,0.56035,0.50883,0.53163,0.29473,1.27455,0.97582,1.30445,0.008647,0.008647,0.008647
43,939.224,1.33721,1.04005,1.34151,0.61914,0.54953,0.54634,0.29988,1.26571,0.97658,1.29256,0.008614,0.008614,0.008614
44,960.885,1.32174,1.01954,1.32242,0.60724,0.57128,0.57385,0.32026,1.25689,0.90579,1.2836,0.008581,0.008581,0.008581
45,982.594,1.32591,1.00709,1.3266,0.63374,0.57594,0.58978,0.3279,1.25496,0.90881,1.26347,0.008548,0.008548,0.008548
46,1004.26,1.3212,1.01068,1.32196,0.62487,0.57688,0.57333,0.3187,1.21871,0.88549,1.24748,0.008515,0.008515,0.008515
47,1025.94,1.32042,1.01169,1.32205,0.6597,0.5465,0.59083,0.32902,1.22155,0.89974,1.26876,0.008482,0.008482,0.008482
48,1047.69,1.29916,0.9792,1.31078,0.66291,0.56645,0.58154,0.31282,1.26059,0.98739,1.28072,0.008449,0.008449,0.008449
49,1069.38,1.30034,0.98287,1.30604,0.68724,0.54657,0.56521,0.31137,1.21718,0.91368,1.24385,0.008416,0.008416,0.008416
50,1091.04,1.28057,0.97269,1.30392,0.63398,0.55265,0.5725,0.32453,1.20011,0.89847,1.24012,0.008383,0.008383,0.008383
51,1112.74,1.27843,0.95963,1.2869,0.68134,0.55087,0.58748,0.32596,1.22014,0.91095,1.25379,0.00835,0.00835,0.00835
52,1134.39,1.2744,0.95797,1.28926,0.64487,0.52584,0.57795,0.31781,1.19598,0.88402,1.23768,0.008317,0.008317,0.008317
53,1156.13,1.26202,0.94168,1.27346,0.69981,0.57225,0.62101,0.34446,1.21219,0.86544,1.24042,0.008284,0.008284,0.008284
54,1177.83,1.27175,0.95844,1.28543,0.67423,0.57359,0.59929,0.33274,1.20026,0.89531,1.22894,0.008251,0.008251,0.008251
55,1199.48,1.26939,0.9373,1.27931,0.66604,0.60945,0.61687,0.33732,1.20884,0.86551,1.23585,0.008218,0.008218,0.008218
56,1221.19,1.25695,0.93919,1.27389,0.66599,0.59223,0.6205,0.33774,1.1987,0.95822,1.22347,0.008185,0.008185,0.008185
57,1242.81,1.26112,0.94152,1.27584,0.65811,0.51482,0.57738,0.33656,1.19635,0.85701,1.23189,0.008152,0.008152,0.008152
58,1264.51,1.24524,0.92722,1.27729,0.61521,0.60768,0.6135,0.34959,1.17602,0.83128,1.21746,0.008119,0.008119,0.008119
59,1286.26,1.24748,0.93498,1.27514,0.70313,0.55314,0.6159,0.33876,1.21183,0.87815,1.23734,0.008086,0.008086,0.008086
60,1307.94,1.24542,0.91855,1.26565,0.72577,0.60301,0.63394,0.34968,1.16982,0.83902,1.2054,0.008053,0.008053,0.008053
61,1329.61,1.22971,0.90598,1.25309,0.65559,0.65664,0.64309,0.35163,1.18247,0.82867,1.22383,0.00802,0.00802,0.00802
62,1351.24,1.23397,0.91187,1.25578,0.7055,0.59513,0.64353,0.3547,1.18799,0.8131,1.21724,0.007987,0.007987,0.007987
63,1372.92,1.22745,0.89284,1.25214,0.67387,0.61852,0.6467,0.359,1.17209,0.80763,1.20789,0.007954,0.007954,0.007954
64,1394.63,1.21274,0.88955,1.24403,0.64334,0.61735,0.64389,0.3546,1.17493,0.81548,1.21131,0.007921,0.007921,0.007921
65,1416.28,1.22693,0.89578,1.25427,0.67732,0.64805,0.64092,0.35073,1.18575,0.8258,1.21688,0.007888,0.007888,0.007888
66,1437.97,1.22483,0.90746,1.26289,0.68077,0.6396,0.62648,0.34916,1.15716,0.86076,1.20337,0.007855,0.007855,0.007855
67,1459.67,1.21345,0.89228,1.25079,0.66344,0.6216,0.6242,0.34322,1.15337,0.82492,1.19946,0.007822,0.007822,0.007822
68,1481.33,1.22035,0.89226,1.25379,0.74872,0.56217,0.62987,0.35205,1.17578,0.81857,1.20745,0.007789,0.007789,0.007789
69,1503.02,1.20554,0.87878,1.23803,0.67785,0.63548,0.64445,0.36557,1.1398,0.80854,1.18674,0.007756,0.007756,0.007756
70,1524.71,1.21175,0.8875,1.24682,0.68353,0.62665,0.64305,0.36151,1.16741,0.79598,1.20404,0.007723,0.007723,0.007723
71,1546.37,1.19419,0.86825,1.22875,0.74011,0.60939,0.66304,0.36927,1.1286,0.78499,1.17787,0.00769,0.00769,0.00769
72,1568.04,1.19782,0.8626,1.23124,0.75398,0.56394,0.63317,0.35959,1.11697,0.78658,1.17798,0.007657,0.007657,0.007657
73,1589.73,1.20947,0.85936,1.24154,0.77362,0.59308,0.64509,0.3613,1.1491,0.77189,1.187,0.007624,0.007624,0.007624
74,1611.4,1.1988,0.85935,1.23264,0.67816,0.61211,0.64272,0.36282,1.13432,0.79177,1.18551,0.007591,0.007591,0.007591
75,1633.08,1.19072,0.86064,1.23278,0.65987,0.63896,0.64028,0.35857,1.13461,0.78577,1.18144,0.007558,0.007558,0.007558
76,1654.71,1.17743,0.84762,1.21871,0.74743,0.59725,0.66513,0.37737,1.14746,0.76313,1.1852,0.007525,0.007525,0.007525
77,1676.36,1.17752,0.83517,1.21941,0.7562,0.62324,0.66077,0.36434,1.14459,0.79991,1.18,0.007492,0.007492,0.007492
78,1698.1,1.18114,0.83932,1.21404,0.69873,0.6445,0.66599,0.37392,1.14535,0.82259,1.19018,0.007459,0.007459,0.007459
79,1719.81,1.17985,0.85047,1.22479,0.77771,0.6026,0.65723,0.37469,1.12526,0.77687,1.18321,0.007426,0.007426,0.007426
80,1741.47,1.17352,0.84368,1.223,0.74032,0.65323,0.67879,0.38769,1.12649,0.74539,1.17256,0.007393,0.007393,0.007393
81,1763.11,1.17658,0.8354,1.21887,0.64659,0.64501,0.65452,0.36674,1.11939,0.73097,1.16663,0.00736,0.00736,0.00736
82,1784.8,1.17472,0.83112,1.21035,0.71187,0.64883,0.69341,0.39199,1.1347,0.7509,1.16458,0.007327,0.007327,0.007327
83,1806.46,1.17176,0.83791,1.21248,0.79708,0.66405,0.70333,0.39751,1.1293,0.74457,1.17251,0.007294,0.007294,0.007294
84,1828.16,1.15813,0.83787,1.21936,0.7207,0.66867,0.68753,0.39329,1.10726,0.76429,1.16766,0.007261,0.007261,0.007261
85,1849.82,1.15217,0.82336,1.20584,0.78128,0.61675,0.67982,0.37951,1.11325,0.76841,1.1628,0.007228,0.007228,0.007228
86,1871.49,1.16167,0.81518,1.20248,0.69288,0.64743,0.67914,0.37675,1.11271,0.76126,1.16181,0.007195,0.007195,0.007195
87,1893.11,1.16724,0.82892,1.2124,0.7389,0.65072,0.67888,0.38052,1.10902,0.75851,1.16597,0.007162,0.007162,0.007162
88,1914.71,1.15681,0.8146,1.20344,0.7168,0.64112,0.67731,0.37566,1.11175,0.73878,1.16731,0.007129,0.007129,0.007129
89,1936.32,1.14767,0.81582,1.20557,0.72388,0.67612,0.69016,0.38975,1.10783,0.72569,1.16164,0.007096,0.007096,0.007096
90,1957.95,1.15024,0.80704,1.19997,0.76234,0.64644,0.69497,0.39153,1.09534,0.71885,1.15673,0.007063,0.007063,0.007063
91,1979.61,1.15155,0.80575,1.203,0.77974,0.66674,0.70321,0.39262,1.10391,0.72302,1.16442,0.00703,0.00703,0.00703
92,2001.35,1.13913,0.79804,1.19795,0.86521,0.61075,0.70348,0.38512,1.09426,0.70347,1.14722,0.006997,0.006997,0.006997
93,2023.09,1.15214,0.81337,1.20287,0.7555,0.66697,0.69449,0.38063,1.10285,0.74518,1.1559,0.006964,0.006964,0.006964
94,2044.72,1.14128,0.79909,1.19453,0.76226,0.66159,0.72577,0.40242,1.09252,0.70935,1.14694,0.006931,0.006931,0.006931
95,2066.45,1.13818,0.78983,1.18963,0.75713,0.68039,0.71392,0.40115,1.08961,0.70155,1.14785,0.006898,0.006898,0.006898
96,2088.02,1.13691,0.80974,1.19438,0.75724,0.68895,0.70222,0.39473,1.11356,0.71981,1.15496,0.006865,0.006865,0.006865
97,2109.66,1.13804,0.79152,1.1912,0.80659,0.69456,0.72669,0.39444,1.096,0.71431,1.14858,0.006832,0.006832,0.006832
98,2131.29,1.12394,0.78113,1.17743,0.75427,0.672,0.71673,0.40359,1.08089,0.68986,1.14827,0.006799,0.006799,0.006799
99,2152.98,1.11738,0.77312,1.18223,0.74778,0.6942,0.7211,0.40077,1.08816,0.70048,1.14757,0.006766,0.006766,0.006766
100,2174.64,1.12767,0.77961,1.17536,0.74407,0.67046,0.7126,0.40274,1.08646,0.72657,1.14506,0.006733,0.006733,0.006733
101,2196.29,1.1242,0.77786,1.19028,0.81924,0.65003,0.71952,0.40561,1.0897,0.72146,1.15552,0.0067,0.0067,0.0067
102,2217.92,1.12078,0.77038,1.18066,0.75329,0.67494,0.71376,0.39793,1.09615,0.69149,1.14603,0.006667,0.006667,0.006667
103,2239.62,1.11409,0.76798,1.17406,0.75098,0.66764,0.72115,0.41288,1.08549,0.69477,1.13756,0.006634,0.006634,0.006634
104,2261.3,1.11518,0.77131,1.1762,0.782,0.63942,0.71993,0.40857,1.08204,0.69744,1.13577,0.006601,0.006601,0.006601
105,2282.92,1.11862,0.76899,1.17885,0.80484,0.66101,0.72796,0.41065,1.08671,0.68846,1.14312,0.006568,0.006568,0.006568
106,2304.64,1.10366,0.75049,1.16778,0.80237,0.64979,0.71602,0.40688,1.09082,0.69871,1.14638,0.006535,0.006535,0.006535
107,2326.31,1.12324,0.77235,1.17962,0.79011,0.69657,0.74076,0.41887,1.09069,0.68046,1.13423,0.006502,0.006502,0.006502
108,2348,1.11388,0.76553,1.17783,0.73807,0.74943,0.75627,0.42626,1.07615,0.6793,1.12937,0.006469,0.006469,0.006469
109,2369.62,1.10806,0.76729,1.17154,0.84235,0.65987,0.74095,0.41746,1.06864,0.68411,1.12983,0.006436,0.006436,0.006436
