epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5297,5.23545,7.78383,4.31154,0,0,0,0,5.67452,4.32127,4.02571,0.070566,0.00327044,0.00327044
2,57.0317,4.53324,4.63373,3.61774,0,0,0,0,5.57797,4.52978,3.91516,0.0405333,0.00657108,0.00657108
3,82.7212,3.83773,3.99172,2.76798,0.00288,0.09742,0.00155,0.00043,3.7318,82.7714,3.64366,0.0104677,0.00983873,0.00983873
4,107.486,3.52338,3.7032,2.4169,0.04741,0.00573,0.00348,0.00128,3.55225,4.0698,2.86924,0.0098515,0.0098515,0.0098515
5,133.045,3.24298,3.33657,2.1488,0.04658,0.03582,0.01211,0.00445,3.36775,4.91001,2.72388,0.009802,0.009802,0.009802
6,158.785,2.95729,2.97386,1.95116,0.34439,0.16762,0.14764,0.04891,2.90016,3.38209,2.0399,0.0097525,0.0097525,0.0097525
7,183.278,2.76541,2.69808,1.87601,0.44204,0.2149,0.20051,0.07844,2.73968,3.69386,1.95709,0.009703,0.009703,0.009703
8,207.922,2.66895,2.56443,1.8058,0.37069,0.29226,0.25569,0.10115,2.50434,2.51125,1.77321,0.0096535,0.0096535,0.0096535
9,232.549,2.52544,2.34722,1.71241,0.55628,0.24499,0.26693,0.11001,2.58682,2.86397,1.82268,0.009604,0.009604,0.009604
10,256.924,2.49672,2.29874,1.72206,0.4264,0.20344,0.21743,0.08259,2.61748,2.75782,1.84846,0.0095545,0.0095545,0.0095545
11,282.604,2.45058,2.21336,1.68756,0.54545,0.3232,0.35198,0.13707,2.39117,2.32249,1.71698,0.009505,0.009505,0.009505
12,311.101,2.3917,2.10274,1.62231,0.64854,0.31519,0.3648,0.15182,2.35416,2.03438,1.69118,0.0094555,0.0094555,0.0094555
13,337.868,2.32415,2.01923,1.58612,0.56794,0.31948,0.35735,0.14997,2.36586,1.99436,1.752,0.009406,0.009406,0.009406
14,363.161,2.30746,1.99843,1.59903,0.55794,0.34899,0.37514,0.158,2.27943,2.02339,1.61627,0.0093565,0.0093565,0.0093565
15,387.858,2.29205,1.95183,1.60826,0.5842,0.39398,0.43538,0.18363,2.22566,2.28907,1.63594,0.009307,0.009307,0.009307
16,410.892,2.27766,1.93565,1.55426,0.65348,0.38395,0.42759,0.18808,2.22892,1.89722,1.6241,0.0092575,0.0092575,0.0092575
17,433.543,2.19864,1.83863,1.52373,0.65322,0.38051,0.43252,0.18826,2.16683,1.82919,1.57927,0.009208,0.009208,0.009208
18,456.541,2.21346,1.8399,1.51537,0.6376,0.34241,0.39488,0.17058,2.31487,1.95315,1.62109,0.0091585,0.0091585,0.0091585
19,481.011,2.19622,1.77995,1.53434,0.64583,0.42407,0.47965,0.2067,2.12552,1.75806,1.53508,0.009109,0.009109,0.009109
20,506.998,2.14309,1.74315,1.50583,0.67435,0.41117,0.4724,0.19798,2.1795,1.74479,1.59437,0.0090595,0.0090595,0.0090595
21,532.464,2.12809,1.71342,1.48116,0.66155,0.44842,0.50848,0.22066,2.09249,1.65567,1.52962,0.00901,0.00901,0.00901
22,556.862,2.13154,1.71615,1.49454,0.64315,0.46562,0.51222,0.23373,2.07218,1.63731,1.51646,0.0089605,0.0089605,0.0089605
23,582.301,2.13989,1.70834,1.49401,0.67496,0.43266,0.50885,0.22301,2.07696,1.63935,1.50063,0.008911,0.008911,0.008911
24,607.001,2.11468,1.64828,1.48361,0.68932,0.48953,0.55485,0.25004,2.07719,1.5221,1.5418,0.0088615,0.0088615,0.0088615
25,629.711,2.08331,1.67183,1.4674,0.6763,0.44413,0.52276,0.23611,2.03011,1.60186,1.48347,0.008812,0.008812,0.008812
26,653.268,2.04361,1.55388,1.42651,0.59964,0.49857,0.52865,0.23971,1.99813,1.61799,1.48045,0.0087625,0.0087625,0.0087625
27,676.403,1.99938,1.55905,1.40383,0.72063,0.47278,0.5509,0.25169,2.02035,1.52178,1.47899,0.008713,0.008713,0.008713
28,699.639,2.02813,1.54138,1.43329,0.7445,0.44668,0.54752,0.24019,2.04185,1.66646,1.5183,0.0086635,0.0086635,0.0086635
29,724.253,2.02731,1.5439,1.41566,0.76274,0.48711,0.57503,0.26867,1.96456,1.47295,1.46989,0.008614,0.008614,0.008614
30,748.234,2.00664,1.51938,1.39596,0.72337,0.51146,0.58514,0.26601,1.99092,1.49031,1.45769,0.0085645,0.0085645,0.0085645
31,772.094,1.98689,1.49155,1.41609,0.69469,0.53787,0.58749,0.2702,1.97489,1.43766,1.48014,0.008515,0.008515,0.008515
32,795.766,2.00493,1.52097,1.4137,0.76156,0.48997,0.58873,0.26611,2.00806,1.39859,1.49322,0.0084655,0.0084655,0.0084655
33,818.495,1.98706,1.46765,1.40643,0.72601,0.49284,0.56956,0.25415,2.02411,1.49394,1.50992,0.008416,0.008416,0.008416
34,842.608,1.97739,1.46141,1.39464,0.72698,0.4957,0.56232,0.2585,2.01346,1.50619,1.4629,0.0083665,0.0083665,0.0083665
35,867.622,1.94917,1.42732,1.38422,0.7665,0.54298,0.6239,0.28256,1.94132,1.37408,1.44632,0.008317,0.008317,0.008317
