epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2029,5.31845,7.96787,4.31966,0,0,0,0,5.67124,4.28247,4.02282,0.070566,0.00327044,0.00327044
2,51.5714,4.57253,4.62564,3.64852,0,0,0,0,5.4904,4.52962,3.89159,0.0405333,0.00657108,0.00657108
3,75.6142,3.8019,3.9422,2.69467,0.01284,0.00573,0.00129,0.00032,4.16507,4.74537,3.73295,0.0104677,0.00983873,0.00983873
4,97.9875,3.39215,3.6058,2.36102,0.01957,0.05158,0.00434,0.00102,3.57588,5.38863,3.48221,0.0098515,0.0098515,0.0098515
5,121.584,3.08304,3.13723,2.07748,0.11571,0.09169,0.04014,0.01175,3.32027,3.30244,2.53281,0.009802,0.009802,0.009802
6,144.698,2.86355,2.81117,1.90273,0.40288,0.2149,0.20597,0.07248,2.84362,2.73568,2.00513,0.0097525,0.0097525,0.0097525
7,167.446,2.70097,2.59618,1.83552,0.28352,0.25072,0.18382,0.06636,2.9258,3.24247,2.29245,0.009703,0.009703,0.009703
8,190.151,2.60833,2.47201,1.75112,0.55282,0.22779,0.24776,0.10644,2.60052,2.66654,1.78836,0.0096535,0.0096535,0.0096535
9,213.314,2.47864,2.32061,1.6686,0.29997,0.2149,0.14952,0.05875,2.64675,5.0421,1.88576,0.009604,0.009604,0.009604
10,236.913,2.457,2.263,1.67418,0.42079,0.22206,0.19944,0.06589,2.62192,2.74802,1.84526,0.0095545,0.0095545,0.0095545
11,259.714,2.42283,2.18999,1.64542,0.53779,0.27937,0.30815,0.12369,2.40667,2.37805,1.68595,0.009505,0.009505,0.009505
12,283.433,2.38011,2.1012,1.60314,0.54228,0.37106,0.38874,0.17224,2.28236,2.10063,1.61537,0.0094555,0.0094555,0.0094555
13,306.512,2.30339,1.98963,1.55381,0.65589,0.33954,0.38794,0.16804,2.25413,1.93916,1.59833,0.009406,0.009406,0.009406
14,330.299,2.29258,2.00436,1.56725,0.48115,0.30802,0.31251,0.12154,2.46603,2.36938,1.75977,0.0093565,0.0093565,0.0093565
15,354.04,2.27325,1.94084,1.57415,0.60304,0.34605,0.37935,0.16414,2.26103,2.04099,1.60768,0.009307,0.009307,0.009307
16,377.208,2.24228,1.91347,1.52744,0.61948,0.32665,0.35685,0.14946,2.37187,2.13774,1.68643,0.0092575,0.0092575,0.0092575
17,400.376,2.1671,1.83502,1.5052,0.76033,0.35673,0.4458,0.20359,2.15819,1.76977,1.55906,0.009208,0.009208,0.009208
18,422.925,2.20703,1.83216,1.50566,0.64424,0.41691,0.46209,0.20381,2.15696,1.82968,1.55686,0.0091585,0.0091585,0.0091585
19,446.755,2.16573,1.78216,1.49454,0.64189,0.40688,0.47201,0.20784,2.16238,1.75784,1.52557,0.009109,0.009109,0.009109
20,469.842,2.12614,1.7661,1.47834,0.68234,0.4212,0.47926,0.20787,2.17002,1.72296,1.57103,0.0090595,0.0090595,0.0090595
21,493.214,2.10917,1.70831,1.44644,0.62789,0.43983,0.4818,0.2076,2.12979,1.69865,1.54038,0.00901,0.00901,0.00901
22,516.504,2.13097,1.70295,1.46578,0.66982,0.43983,0.50873,0.23109,2.05322,1.9884,1.50873,0.0089605,0.0089605,0.0089605
23,539.306,2.11602,1.69273,1.45691,0.64677,0.42837,0.49281,0.22444,2.11106,1.69298,1.51803,0.008911,0.008911,0.008911
24,562.622,2.0916,1.64987,1.44624,0.67009,0.48424,0.54499,0.24327,2.09032,1.52975,1.50843,0.0088615,0.0088615,0.0088615
25,585.396,2.07979,1.66939,1.44969,0.67798,0.45546,0.52353,0.23693,2.06394,1.63604,1.49108,0.008812,0.008812,0.008812
26,609.434,2.04928,1.57177,1.41298,0.69164,0.41404,0.4912,0.22211,2.14788,1.63505,1.50578,0.0087625,0.0087625,0.0087625
27,632.16,2.00216,1.56534,1.39096,0.70603,0.47828,0.53849,0.24434,2.0465,1.60796,1.51868,0.008713,0.008713,0.008713
28,655.664,2.02973,1.58598,1.42525,0.75528,0.47708,0.55311,0.25248,2.02317,1.51025,1.47514,0.0086635,0.0086635,0.0086635
29,678.746,2.02215,1.53952,1.39605,0.66013,0.43966,0.5012,0.22658,2.05755,1.61561,1.48704,0.008614,0.008614,0.008614
30,701.71,2.00854,1.53252,1.37681,0.74299,0.50716,0.59438,0.26537,1.98352,1.45298,1.44549,0.0085645,0.0085645,0.0085645
31,724.935,1.9783,1.49635,1.38569,0.67834,0.47135,0.53877,0.25647,1.95345,1.51046,1.43849,0.008515,0.008515,0.008515
32,748.064,1.99698,1.53649,1.38759,0.75117,0.49284,0.58029,0.26839,1.98747,1.4185,1.44061,0.0084655,0.0084655,0.0084655
33,770.456,1.97963,1.47963,1.38592,0.74933,0.52006,0.60117,0.27434,1.98054,1.40214,1.44204,0.008416,0.008416,0.008416
34,793.702,1.96536,1.46453,1.37416,0.74697,0.51146,0.59153,0.27538,1.96372,1.52209,1.46706,0.0083665,0.0083665,0.0083665
35,817.026,1.95555,1.42,1.37399,0.76565,0.54871,0.63355,0.29434,1.97169,1.32904,1.44439,0.008317,0.008317,0.008317
36,839.716,1.95343,1.42527,1.36825,0.68911,0.53582,0.58864,0.28019,1.92528,1.40361,1.42786,0.0082675,0.0082675,0.0082675
37,863.166,1.95263,1.41379,1.36431,0.75216,0.54298,0.62476,0.28994,1.92558,1.33397,1.40749,0.008218,0.008218,0.008218
38,885.876,1.94311,1.40685,1.36122,0.71457,0.5667,0.62609,0.29221,1.95066,1.34319,1.43476,0.0081685,0.0081685,0.0081685
39,908.592,1.90901,1.38992,1.35117,0.74589,0.5551,0.63524,0.29758,1.94852,1.34156,1.414,0.008119,0.008119,0.008119
40,932.302,1.89418,1.37437,1.34286,0.70711,0.54305,0.60884,0.27626,1.92727,1.3944,1.41379,0.0080695,0.0080695,0.0080695
41,955.372,1.88999,1.36062,1.32879,0.74887,0.55731,0.63668,0.30512,1.90227,1.33045,1.38701,0.00802,0.00802,0.00802
42,978.629,1.89228,1.36553,1.33909,0.78464,0.5794,0.64971,0.30599,1.92198,1.28694,1.4039,0.0079705,0.0079705,0.0079705
43,1001.58,1.8895,1.32005,1.32274,0.79295,0.55963,0.63974,0.3004,1.89933,1.297,1.38629,0.007921,0.007921,0.007921
44,1024.99,1.90559,1.3457,1.3385,0.76228,0.54728,0.63046,0.28993,1.95094,1.3499,1.41255,0.0078715,0.0078715,0.0078715
45,1047.49,1.86282,1.30485,1.31775,0.71494,0.60602,0.65515,0.30289,1.90852,1.29144,1.39418,0.007822,0.007822,0.007822
46,1070.87,1.86907,1.29938,1.33303,0.74824,0.59885,0.67188,0.31432,1.88423,1.25014,1.37465,0.0077725,0.0077725,0.0077725
47,1093.55,1.84459,1.29707,1.33574,0.7977,0.58751,0.66398,0.31589,1.89732,1.27636,1.38812,0.007723,0.007723,0.007723
48,1117.01,1.87241,1.27796,1.318,0.73511,0.55444,0.60931,0.28101,1.94936,1.35946,1.42827,0.0076735,0.0076735,0.0076735
49,1140.1,1.86913,1.28666,1.30806,0.75089,0.59599,0.66219,0.2987,1.92868,1.3147,1.41178,0.007624,0.007624,0.007624
50,1163.16,1.85614,1.30297,1.34651,0.76813,0.58739,0.66483,0.31546,1.84706,1.23477,1.35735,0.0075745,0.0075745,0.0075745
51,1186.95,1.85897,1.27456,1.30563,0.79112,0.56431,0.66665,0.31376,1.90138,1.23041,1.39198,0.007525,0.007525,0.007525
52,1211.13,1.83712,1.2402,1.29463,0.8008,0.59026,0.66354,0.31285,1.89579,1.23123,1.38865,0.0074755,0.0074755,0.0074755
53,1233.36,1.82149,1.22089,1.28183,0.77649,0.60745,0.67796,0.31897,1.83793,1.21976,1.35481,0.007426,0.007426,0.007426
54,1257.37,1.83241,1.23694,1.2971,0.79418,0.60602,0.6807,0.32499,1.84384,1.24732,1.35423,0.0073765,0.0073765,0.0073765
55,1279.72,1.78999,1.19472,1.27595,0.80535,0.60745,0.68741,0.31464,1.83807,1.2479,1.34159,0.007327,0.007327,0.007327
56,1302.29,1.80782,1.21318,1.2873,0.80041,0.60029,0.69194,0.32622,1.84654,1.20551,1.3558,0.0072775,0.0072775,0.0072775
57,1325.51,1.79696,1.2009,1.27539,0.78577,0.58739,0.66537,0.30355,1.88917,1.27429,1.38519,0.007228,0.007228,0.007228
58,1349.58,1.79555,1.21233,1.27804,0.84308,0.59026,0.70215,0.33412,1.86517,1.21231,1.36034,0.0071785,0.0071785,0.0071785
59,1372.51,1.75663,1.15124,1.26102,0.79298,0.60745,0.70016,0.33299,1.84561,1.16776,1.36076,0.007129,0.007129,0.007129
60,1395.71,1.79574,1.19791,1.2964,0.82782,0.61318,0.69102,0.32929,1.86683,1.16511,1.35787,0.0070795,0.0070795,0.0070795
61,1419.68,1.7804,1.14449,1.26522,0.83608,0.59312,0.70111,0.33415,1.86276,1.17218,1.36255,0.00703,0.00703,0.00703
62,1442.05,1.75645,1.13387,1.25248,0.80799,0.65616,0.72506,0.33519,1.82516,1.13008,1.34497,0.0069805,0.0069805,0.0069805
63,1465.73,1.74414,1.11364,1.25459,0.77965,0.62034,0.69,0.32422,1.83542,1.1903,1.35427,0.006931,0.006931,0.006931
64,1488.97,1.73752,1.13349,1.2653,0.78079,0.60725,0.6795,0.32541,1.82798,1.17684,1.3401,0.0068815,0.0068815,0.0068815
65,1511.78,1.73652,1.1125,1.24175,0.80582,0.61831,0.70257,0.33777,1.8414,1.16051,1.34705,0.006832,0.006832,0.006832
66,1535.85,1.72798,1.11016,1.24657,0.81502,0.62607,0.72065,0.3417,1.82961,1.14699,1.34215,0.0067825,0.0067825,0.0067825
67,1558.6,1.76572,1.13875,1.2518,0.78901,0.65903,0.71754,0.34004,1.8434,1.1491,1.35423,0.006733,0.006733,0.006733
