epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4611,5.32007,9.96795,4.54808,0,0,0,0,5.75244,4.80479,4.1202,0.070566,0.00327044,0.00327044
2,53.8671,4.94614,5.50831,4.09292,0,0,0,0,5.67001,4.40586,4.03434,0.0405333,0.00657108,0.00657108
3,77.8526,4.05522,4.14305,2.95387,0.00163,0.0788,0.00046,0.00013,nan,nan,nan,0.0104677,0.00983873,0.00983873
4,99.8273,3.58419,3.78272,2.46646,0.00224,0.00143,0.00031,8e-05,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,124.122,3.33308,3.43978,2.20495,0.01014,0.05301,0.00261,0.00068,nan,nan,nan,0.009802,0.009802,0.009802
6,147.466,3.06346,3.06389,2.00719,0.22553,0.11891,0.08423,0.02545,3.03085,6.803,2.24297,0.0097525,0.0097525,0.0097525
7,170.092,2.86695,2.78804,1.92275,0.30882,0.19054,0.16928,0.06745,2.8355,3.09415,1.93284,0.009703,0.009703,0.009703
8,193.2,2.74168,2.59493,1.83854,0.4552,0.22983,0.21368,0.08456,2.76827,2.73272,1.87306,0.0096535,0.0096535,0.0096535
9,216.75,2.5412,2.3692,1.7097,0.41872,0.17235,0.17679,0.05818,nan,nan,nan,0.009604,0.009604,0.009604
10,242.077,2.52591,2.32579,1.73173,0.51106,0.25215,0.26976,0.11644,2.56893,2.43802,1.79785,0.0095545,0.0095545,0.0095545
11,265.101,2.48014,2.24665,1.70021,0.54912,0.25788,0.27837,0.11769,2.54282,2.64978,1.79795,0.009505,0.009505,0.009505
12,289.521,2.42423,2.13977,1.64357,0.56185,0.30946,0.35991,0.16008,2.30413,2.08581,1.63464,0.0094555,0.0094555,0.0094555
13,312.232,2.35422,2.04753,1.5934,0.63193,0.37142,0.4152,0.18097,2.29384,2.09808,1.64578,0.009406,0.009406,0.009406
14,336.579,2.33665,2.03835,1.61693,0.55149,0.3467,0.36776,0.13454,2.36808,2.099,1.68792,0.0093565,0.0093565,0.0093565
15,360.325,2.31343,1.99583,1.61029,0.60948,0.38252,0.394,0.16101,2.30148,1.94639,1.63632,0.009307,0.009307,0.009307
16,383.942,2.29467,1.95939,1.57503,0.63184,0.40974,0.41955,0.17722,2.2464,1.94349,1.63806,0.0092575,0.0092575,0.0092575
17,407.174,2.20591,1.85524,1.5311,0.55915,0.33238,0.36305,0.14657,2.49639,1.93763,1.75272,0.009208,0.009208,0.009208
18,430.376,2.22562,1.84846,1.52135,0.6481,0.40258,0.44683,0.19016,2.26156,1.87636,1.60941,0.0091585,0.0091585,0.0091585
19,453.971,2.19435,1.80327,1.52884,0.61677,0.4035,0.43984,0.19311,2.21058,1.87226,1.58084,0.009109,0.009109,0.009109
20,477.472,2.17131,1.79002,1.51727,0.7089,0.38968,0.45211,0.19085,2.19592,1.77282,1.57676,0.0090595,0.0090595,0.0090595
21,500.807,2.14882,1.74371,1.49134,0.69894,0.42264,0.48907,0.19959,2.21423,1.68694,1.58453,0.00901,0.00901,0.00901
22,524.189,2.15368,1.75418,1.49504,0.72512,0.39304,0.48137,0.22413,2.08723,1.68047,1.52462,0.0089605,0.0089605,0.0089605
23,547.882,2.13168,1.73422,1.48573,0.76318,0.45272,0.5234,0.2355,2.10422,1.61227,1.52029,0.008911,0.008911,0.008911
24,570.906,2.13208,1.72315,1.48904,0.6621,0.45845,0.51707,0.23436,2.07887,1.56632,1.51419,0.0088615,0.0088615,0.0088615
25,593.356,2.09901,1.67617,1.47879,0.69537,0.45272,0.52604,0.24499,2.06322,1.57131,1.51753,0.008812,0.008812,0.008812
26,618.025,2.06206,1.59642,1.44394,0.70597,0.46562,0.53527,0.24452,2.06773,1.54216,1.5061,0.0087625,0.0087625,0.0087625
27,641.37,2.04799,1.61547,1.4319,0.6612,0.43696,0.49944,0.23048,2.07555,1.71632,1.54932,0.008713,0.008713,0.008713
28,664.344,2.05218,1.60466,1.44366,0.76581,0.47994,0.56566,0.26421,2.01239,1.48526,1.50059,0.0086635,0.0086635,0.0086635
29,687.772,2.03778,1.58633,1.42317,0.75419,0.49427,0.57609,0.27129,1.99093,1.46291,1.46446,0.008614,0.008614,0.008614
30,710.748,2.03414,1.5535,1.41342,0.73803,0.5086,0.55829,0.23504,2.10034,1.60161,1.5202,0.0085645,0.0085645,0.0085645
31,733.597,2.00212,1.5422,1.42307,0.72785,0.49812,0.56832,0.26585,2.0083,1.48291,1.47308,0.008515,0.008515,0.008515
32,757.049,2.00476,1.56075,1.41442,0.67929,0.51003,0.5749,0.26594,1.98296,1.47733,1.47982,0.0084655,0.0084655,0.0084655
33,780.064,1.9976,1.5043,1.41302,0.71888,0.49092,0.56252,0.26303,1.99373,1.47156,1.47393,0.008416,0.008416,0.008416
34,803.153,1.98213,1.48451,1.3971,0.74818,0.47249,0.55572,0.25222,2.03064,1.57505,1.47655,0.0083665,0.0083665,0.0083665
35,826.879,1.99051,1.49947,1.40499,0.74067,0.52006,0.59187,0.26796,2.00591,1.4193,1.48424,0.008317,0.008317,0.008317
