epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8356,5.07065,7.37248,4.2687,0,0,0,0,5.74927,4.29775,4.02152,0.070566,0.00327044,0.00327044
2,52.0024,4.53444,4.54834,3.47957,0,0,0,0,5.71387,4.56475,3.99886,0.0405333,0.00657108,0.00657108
3,78.0313,3.81015,3.90168,2.67443,0.00079,0.12483,0.00043,0.00013,4.49797,inf,6.83683,0.0104677,0.00983873,0.00983873
4,101.649,3.46412,3.6221,2.36945,0.00526,0.06103,0.00117,0.00028,4.71872,inf,8.7697,0.0098515,0.0098515,0.0098515
5,123.595,3.18469,3.29367,2.15363,0.04262,0.03606,0.01164,0.00482,3.59169,4.27958,2.49759,0.009802,0.009802,0.009802
6,145.758,2.93554,2.95809,1.96392,0.51121,0.19001,0.19402,0.07796,2.6864,3.167,1.8925,0.0097525,0.0097525,0.0097525
7,168.693,2.78565,2.68138,1.86061,0.45866,0.20565,0.21723,0.08293,2.59249,3.79515,1.80864,0.009703,0.009703,0.009703
8,190.466,2.65009,2.51919,1.79326,0.47721,0.21914,0.24713,0.1083,2.58085,2.87718,1.80584,0.0096535,0.0096535,0.0096535
9,212.523,2.5235,2.2825,1.70222,0.56967,0.24133,0.26691,0.10829,2.60091,2.44006,1.82108,0.009604,0.009604,0.009604
10,234.905,2.52912,2.33787,1.70322,0.53791,0.24688,0.28608,0.12339,2.44039,2.19723,1.6955,0.0095545,0.0095545,0.0095545
11,256.373,2.43727,2.24176,1.65761,0.53721,0.28155,0.32574,0.14177,2.43213,2.13066,1.7433,0.009505,0.009505,0.009505
12,279.011,2.37963,2.11838,1.62935,0.56573,0.2656,0.29224,0.1223,2.52494,2.18289,1.78428,0.0094555,0.0094555,0.0094555
13,300.921,2.32464,2.02616,1.59348,0.62172,0.30929,0.34696,0.13834,2.3833,2.11999,1.64003,0.009406,0.009406,0.009406
14,324.115,2.28308,2.00135,1.58216,0.65957,0.36009,0.41568,0.16544,2.27652,1.99351,1.60703,0.0093565,0.0093565,0.0093565
15,345.724,2.29807,1.98185,1.56797,0.68306,0.37725,0.42804,0.18002,2.24254,1.79867,1.60232,0.009307,0.009307,0.009307
16,368.227,2.21528,1.88249,1.51918,0.59202,0.39851,0.44284,0.1777,2.31534,1.80155,1.62194,0.0092575,0.0092575,0.0092575
17,390.59,2.21019,1.8643,1.52502,0.65897,0.39932,0.44392,0.17988,2.22116,1.81047,1.5772,0.009208,0.009208,0.009208
18,412.9,2.18213,1.84282,1.52301,0.62028,0.35784,0.38934,0.16708,2.28594,2.14438,1.69283,0.0091585,0.0091585,0.0091585
19,434.905,2.16047,1.79235,1.48044,0.67811,0.4258,0.491,0.21525,2.13391,1.79768,1.53654,0.009109,0.009109,0.009109
20,458.138,2.14828,1.75712,1.48313,0.65784,0.42718,0.45761,0.19909,2.15557,1.72891,1.55643,0.0090595,0.0090595,0.0090595
21,481.089,2.16676,1.77495,1.48612,0.64382,0.43122,0.45802,0.18492,2.18513,2.05174,1.55034,0.00901,0.00901,0.00901
