epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3884,5.17717,8.44977,4.28909,0,0,0,0,5.69383,4.27352,4.06111,0.070566,0.00327044,0.00327044
2,52.4381,4.41591,4.55629,3.4852,0,0,0,0,5.57786,4.53139,3.96535,0.0405333,0.00657108,0.00657108
3,76.5451,3.76283,3.92192,2.70006,0.0056,0.05874,0.00253,0.00066,3.67631,5.0723,2.8841,0.0104677,0.00983873,0.00983873
4,99.9288,3.53048,3.71583,2.45827,0.00095,0.19628,0.00059,0.00016,3.79319,176.298,2.63685,0.0098515,0.0098515,0.0098515
5,122.382,3.24148,3.35616,2.18406,0.15758,0.11891,0.06174,0.01939,3.03558,10.5972,2.127,0.009802,0.009802,0.009802
6,145.606,3.01398,3.05597,1.99735,0.24757,0.149,0.10779,0.03805,2.90889,3.35798,2.05314,0.0097525,0.0097525,0.0097525
7,167.52,2.81664,2.80649,1.91309,0.19923,0.06877,0.06965,0.03151,2.92903,7.13717,2.05504,0.009703,0.009703,0.009703
8,189.785,2.70446,2.60324,1.83829,0.16848,0.10888,0.06489,0.02288,3.08693,9.18905,2.35905,0.0096535,0.0096535,0.0096535
9,212.263,2.52906,2.3831,1.71514,0.25727,0.16905,0.12394,0.02935,3.38673,4.44214,2.49388,0.009604,0.009604,0.009604
10,234.971,2.49397,2.32432,1.7253,0.55562,0.26074,0.28758,0.11707,2.5569,2.42712,1.82158,0.0095545,0.0095545,0.0095545
11,257.38,2.45905,2.26173,1.69012,0.34124,0.18182,0.15475,0.05021,2.9805,2.87415,2.08939,0.009505,0.009505,0.009505
12,280.402,2.4083,2.16283,1.62876,0.60675,0.26218,0.30544,0.13129,2.41952,2.97583,1.76466,0.0094555,0.0094555,0.0094555
13,302.663,2.33681,2.02704,1.59572,0.58512,0.32092,0.35637,0.14138,2.42157,2.1325,1.72083,0.009406,0.009406,0.009406
14,326.001,2.32452,2.03735,1.61155,0.60234,0.39062,0.42388,0.1793,2.26803,1.95081,1.62184,0.0093565,0.0093565,0.0093565
15,349.481,2.29141,1.97819,1.6001,0.692,0.37393,0.43952,0.18183,2.19879,1.89638,1.61212,0.009307,0.009307,0.009307
16,372.1,2.27449,1.93498,1.56112,0.54265,0.38417,0.40784,0.16071,2.37156,1.96427,1.71846,0.0092575,0.0092575,0.0092575
17,394.468,2.20888,1.85109,1.53397,0.68204,0.41834,0.48712,0.21234,2.14627,1.69286,1.5423,0.009208,0.009208,0.009208
18,416.618,2.2054,1.85155,1.51558,0.67164,0.37679,0.42999,0.18254,2.27076,1.91676,1.60502,0.0091585,0.0091585,0.0091585
19,439.635,2.19858,1.81238,1.52987,0.68732,0.3467,0.42758,0.18727,2.30184,1.99877,1.65811,0.009109,0.009109,0.009109
20,462.57,2.1469,1.78346,1.49441,0.68093,0.41834,0.49616,0.20961,2.1414,1.69399,1.53692,0.0090595,0.0090595,0.0090595
21,485.142,2.13042,1.75089,1.47584,0.72682,0.41977,0.49171,0.20336,2.17669,1.7076,1.57695,0.00901,0.00901,0.00901
