epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5878,5.05703,7.36133,4.2548,0,0,0,0,5.74847,4.29812,4.01822,0.070566,0.00327044,0.00327044
2,51.9617,4.53344,4.5352,3.47468,0,0,0,0,5.66894,4.55163,3.93487,0.0405399,0.00657762,0.00657762
3,75.6423,3.86064,4.00385,2.74415,0.00015,0.02913,7e-05,2e-05,nan,nan,nan,0.0104873,0.00985841,0.00985841
4,97.5572,3.49695,3.67307,2.36148,0.00685,0.09986,0.00345,0.00095,3.53272,74.0162,4.14143,0.0098812,0.0098812,0.0098812
5,119.471,3.20093,3.35508,2.13927,0.14547,0.01942,0.02386,0.00682,3.19254,3.16518,2.49983,0.0098416,0.0098416,0.0098416
6,141.758,2.91893,2.94286,1.94606,0.16722,0.07074,0.03864,0.01181,3.57154,3.82513,2.47818,0.009802,0.009802,0.009802
7,165.167,2.75294,2.68494,1.82893,0.31874,0.22746,0.18593,0.0708,2.67239,5.27851,1.84919,0.0097624,0.0097624,0.0097624
8,187.973,2.67114,2.53674,1.79647,0.54748,0.24133,0.26539,0.11058,2.49028,3.38485,1.75362,0.0097228,0.0097228,0.0097228
9,210.669,2.55045,2.35327,1.71028,0.41395,0.22191,0.20721,0.07862,2.52674,3.26005,1.77508,0.0096832,0.0096832,0.0096832
10,234.055,2.5598,2.36169,1.72669,0.5079,0.28849,0.31393,0.13032,2.46443,2.13216,1.76263,0.0096436,0.0096436,0.0096436
11,256.41,2.46607,2.2392,1.67091,0.42895,0.27601,0.28898,0.12741,2.3938,2.173,1.7183,0.009604,0.009604,0.009604
12,278.489,2.41088,2.12893,1.64163,0.6323,0.22469,0.28793,0.13312,2.33802,2.34197,1.63658,0.0095644,0.0095644,0.0095644
13,300.235,2.34224,2.04385,1.60045,0.59006,0.31761,0.35965,0.15314,2.3276,1.99797,1.66906,0.0095248,0.0095248,0.0095248
14,323.72,2.30392,2.01135,1.58358,0.45101,0.34258,0.31936,0.1303,2.31236,2.61779,1.64737,0.0094852,0.0094852,0.0094852
15,345.479,2.31639,2.01243,1.57291,0.60967,0.35784,0.36428,0.15282,2.2307,2.00513,1.59311,0.0094456,0.0094456,0.0094456
16,367.751,2.24568,1.91226,1.52801,0.6254,0.36755,0.40008,0.15441,2.37795,2.02851,1.67246,0.009406,0.009406,0.009406
17,389.129,2.21137,1.88941,1.52225,0.67387,0.40222,0.46417,0.20515,2.18534,1.83673,1.55909,0.0093664,0.0093664,0.0093664
18,410.45,2.2188,1.86455,1.54449,0.69628,0.39112,0.47258,0.1996,2.13855,1.79649,1.56885,0.0093268,0.0093268,0.0093268
19,433.074,2.15701,1.79728,1.48732,0.60936,0.45631,0.4924,0.22435,2.11702,1.70819,1.52546,0.0092872,0.0092872,0.0092872
20,455.628,2.14991,1.75683,1.4877,0.59771,0.42996,0.47384,0.20077,2.15985,1.67919,1.53209,0.0092476,0.0092476,0.0092476
21,477.817,2.15643,1.76343,1.48232,0.62179,0.42718,0.48013,0.19112,2.12374,1.88621,1.51946,0.009208,0.009208,0.009208
22,499.133,2.13014,1.739,1.47276,0.56256,0.29252,0.30441,0.13842,2.3042,3.56154,1.7165,0.0091684,0.0091684,0.0091684
23,520.461,2.12663,1.71767,1.48567,0.72539,0.42025,0.51009,0.23166,2.06884,1.626,1.51661,0.0091288,0.0091288,0.0091288
24,541.679,2.08933,1.69216,1.47155,0.70669,0.40361,0.48189,0.20513,2.13809,1.64453,1.5064,0.0090892,0.0090892,0.0090892
25,562.885,2.07971,1.70121,1.47786,0.68277,0.403,0.48218,0.21371,2.16926,1.61767,1.58227,0.0090496,0.0090496,0.0090496
26,584.802,2.05436,1.61498,1.43357,0.70531,0.49653,0.56214,0.25673,1.99835,1.60085,1.45566,0.00901,0.00901,0.00901
27,606.038,2.07348,1.66738,1.44878,0.68808,0.45908,0.51721,0.23322,2.04794,1.55734,1.46742,0.0089704,0.0089704,0.0089704
28,627.422,2.0802,1.62114,1.45802,0.73288,0.42302,0.50086,0.22345,2.11917,1.71438,1.50001,0.0089308,0.0089308,0.0089308
29,648.558,2.04311,1.5678,1.41009,0.71455,0.43551,0.5203,0.2379,2.0692,1.66763,1.49751,0.0088912,0.0088912,0.0088912
30,670.176,2.02505,1.5746,1.43548,0.65175,0.50208,0.55914,0.25821,2.0323,1.46516,1.46245,0.0088516,0.0088516,0.0088516
31,691.749,2.00485,1.52037,1.40218,0.68409,0.49653,0.5605,0.2499,2.009,1.47191,1.449,0.008812,0.008812,0.008812
32,712.403,2.01313,1.53876,1.40266,0.76849,0.47295,0.57307,0.25328,2.0654,1.47261,1.48046,0.0087724,0.0087724,0.0087724
33,733.26,1.98972,1.51528,1.41309,0.69452,0.50453,0.56705,0.25242,2.04721,1.53084,1.47588,0.0087328,0.0087328,0.0087328
34,754.807,1.99151,1.50213,1.40239,0.71862,0.50653,0.5823,0.2695,2.01697,1.40535,1.46438,0.0086932,0.0086932,0.0086932
35,776.226,1.96679,1.49717,1.40055,0.73138,0.41193,0.51905,0.23278,2.06547,1.59195,1.46244,0.0086536,0.0086536,0.0086536
36,797.369,1.93266,1.4358,1.39093,0.6296,0.48405,0.48436,0.21891,2.00283,1.47464,1.43774,0.008614,0.008614,0.008614
37,819.392,1.96496,1.45872,1.40313,0.74909,0.50931,0.59128,0.27223,1.9865,1.42067,1.44086,0.0085744,0.0085744,0.0085744
38,841.661,1.94816,1.43281,1.38719,0.76092,0.53953,0.61814,0.28153,1.96651,1.51244,1.45712,0.0085348,0.0085348,0.0085348
39,863.285,1.93375,1.41172,1.36663,0.79393,0.54505,0.62431,0.29456,1.9435,1.35199,1.41443,0.0084952,0.0084952,0.0084952
40,884.891,1.93471,1.39579,1.37468,0.75198,0.51734,0.59877,0.26547,2.03414,1.41863,1.46496,0.0084556,0.0084556,0.0084556
41,906.193,1.88253,1.36678,1.36998,0.74461,0.53398,0.61315,0.28867,1.97749,1.35249,1.43778,0.008416,0.008416,0.008416
42,928.432,1.90678,1.37494,1.36555,0.75446,0.53259,0.6151,0.29205,1.95668,1.39582,1.42838,0.0083764,0.0083764,0.0083764
43,951.274,1.90213,1.35772,1.36055,0.77454,0.53841,0.62969,0.28335,1.96482,1.34647,1.42721,0.0083368,0.0083368,0.0083368
44,973.982,1.92052,1.36777,1.37205,0.72837,0.55787,0.62058,0.2743,2.01459,1.33219,1.45076,0.0082972,0.0082972,0.0082972
45,995.732,1.90273,1.35815,1.36608,0.76562,0.56449,0.64418,0.303,1.92878,1.29617,1.40613,0.0082576,0.0082576,0.0082576
46,1017.75,1.89809,1.33373,1.3479,0.74451,0.55895,0.62746,0.29522,1.93082,1.29914,1.40986,0.008218,0.008218,0.008218
47,1038.59,1.84354,1.29736,1.33936,0.71522,0.5534,0.62845,0.29104,1.97336,1.29679,1.42551,0.0081784,0.0081784,0.0081784
48,1059.99,1.89387,1.32706,1.35282,0.74951,0.56172,0.64322,0.29632,1.97854,1.30313,1.44683,0.0081388,0.0081388,0.0081388
49,1081.46,1.86983,1.28434,1.34016,0.77975,0.56727,0.66051,0.31404,1.90015,1.26159,1.37857,0.0080992,0.0080992,0.0080992
50,1102.64,1.83027,1.27427,1.32598,0.72892,0.55943,0.63703,0.30444,1.92799,1.31821,1.41904,0.0080596,0.0080596,0.0080596
51,1124.06,1.83828,1.28992,1.32589,0.79303,0.56588,0.67102,0.30539,1.92138,1.25539,1.38459,0.00802,0.00802,0.00802
52,1145.41,1.83413,1.2649,1.31406,0.75258,0.57282,0.65674,0.30721,1.92902,1.282,1.40635,0.0079804,0.0079804,0.0079804
53,1166.51,1.80936,1.23301,1.29549,0.8104,0.58097,0.67864,0.31736,1.92249,1.22083,1.40253,0.0079408,0.0079408,0.0079408
54,1187.68,1.85725,1.26383,1.33637,0.78859,0.57004,0.67179,0.31127,1.9178,1.23743,1.39719,0.0079012,0.0079012,0.0079012
55,1209.07,1.82777,1.26446,1.33204,0.7708,0.58807,0.6802,0.32123,1.88475,1.22042,1.37428,0.0078616,0.0078616,0.0078616
56,1229.73,1.81561,1.24537,1.31886,0.76776,0.58252,0.67736,0.32532,1.88509,1.2053,1.38094,0.007822,0.007822,0.007822
57,1251.92,1.8214,1.23267,1.30041,0.77702,0.60415,0.68119,0.32188,1.89535,1.23579,1.3923,0.0077824,0.0077824,0.0077824
58,1274.31,1.80518,1.20693,1.3109,0.77877,0.61859,0.69288,0.32292,1.92458,1.19737,1.40415,0.0077428,0.0077428,0.0077428
59,1295.43,1.79894,1.19846,1.31433,0.79085,0.62409,0.70642,0.33578,1.87807,1.15448,1.37631,0.0077032,0.0077032,0.0077032
60,1316.89,1.79029,1.2012,1.30112,0.80079,0.60773,0.69927,0.32741,1.88598,1.15783,1.36483,0.0076636,0.0076636,0.0076636
61,1338.55,1.79448,1.20427,1.29093,0.75515,0.63307,0.702,0.32568,1.89082,1.18518,1.38327,0.007624,0.007624,0.007624
62,1360.34,1.7699,1.15367,1.29265,0.79989,0.59875,0.68587,0.32355,1.8858,1.17145,1.37473,0.0075844,0.0075844,0.0075844
63,1381.95,1.78577,1.17321,1.29815,0.79345,0.62136,0.70303,0.33239,1.89533,1.16477,1.37076,0.0075448,0.0075448,0.0075448
64,1405.78,1.78216,1.16681,1.302,0.74507,0.63235,0.70514,0.32878,1.88625,1.14378,1.36745,0.0075052,0.0075052,0.0075052
65,1428.46,1.7822,1.17103,1.28688,0.78546,0.62552,0.71375,0.34251,1.83009,1.15504,1.35047,0.0074656,0.0074656,0.0074656
66,1452.23,1.75211,1.12695,1.26049,0.78234,0.6172,0.70165,0.33334,1.88172,1.15178,1.37027,0.007426,0.007426,0.007426
67,1472.86,1.77611,1.15771,1.27557,0.79648,0.64051,0.70545,0.33206,1.87613,1.15928,1.36939,0.0073864,0.0073864,0.0073864
68,1495.44,1.73867,1.11896,1.25874,0.81143,0.64494,0.73928,0.34491,1.85641,1.09914,1.35976,0.0073468,0.0073468,0.0073468
69,1516.01,1.74457,1.13335,1.28873,0.8028,0.64078,0.73298,0.33991,1.88354,1.09931,1.37,0.0073072,0.0073072,0.0073072
70,1538.03,1.75023,1.12118,1.27755,0.8288,0.63523,0.73607,0.3444,1.85712,1.09657,1.3596,0.0072676,0.0072676,0.0072676
71,1560.05,1.74948,1.11835,1.28534,0.80901,0.65801,0.73652,0.34597,1.88365,1.09667,1.37315,0.007228,0.007228,0.007228
72,1581.5,1.74652,1.11556,1.29086,0.82139,0.63782,0.73796,0.34598,1.86126,1.11687,1.35057,0.0071884,0.0071884,0.0071884
73,1602.89,1.73056,1.10708,1.27774,0.78747,0.62691,0.72531,0.34187,1.87159,1.12275,1.34745,0.0071488,0.0071488,0.0071488
74,1624.06,1.74597,1.12272,1.27876,0.77518,0.6504,0.73575,0.34683,1.8507,1.09142,1.33785,0.0071092,0.0071092,0.0071092
75,1645.82,1.73384,1.11431,1.26055,0.80462,0.68793,0.75589,0.35834,1.82833,1.09985,1.33478,0.0070696,0.0070696,0.0070696
76,1667.92,1.73294,1.11257,1.27725,0.82117,0.61304,0.72645,0.34035,1.90006,1.10144,1.38142,0.00703,0.00703,0.00703
77,1689.22,1.71367,1.09082,1.26244,0.80956,0.65603,0.74136,0.3534,1.85912,1.06913,1.36023,0.0069904,0.0069904,0.0069904
78,1710.5,1.72803,1.08705,1.27612,0.77377,0.65326,0.71745,0.34052,1.84427,1.10493,1.34967,0.0069508,0.0069508,0.0069508
79,1731.65,1.70387,1.09335,1.25328,0.79361,0.68264,0.74833,0.3538,1.8417,1.06944,1.34739,0.0069112,0.0069112,0.0069112
80,1753.98,1.70101,1.08618,1.26802,0.80787,0.66484,0.75097,0.35668,1.8551,1.07149,1.34973,0.0068716,0.0068716,0.0068716
81,1775.63,1.69775,1.04778,1.24267,0.80451,0.66852,0.73929,0.34926,1.86849,1.07639,1.36464,0.006832,0.006832,0.006832
82,1796.88,1.69303,1.06305,1.25107,0.79376,0.6886,0.75107,0.35478,1.86,1.09533,1.34656,0.0067924,0.0067924,0.0067924
83,1819.55,1.69084,1.0349,1.25982,0.83819,0.6491,0.7483,0.35892,1.83897,1.0404,1.34599,0.0067528,0.0067528,0.0067528
84,1840.97,1.69101,1.0589,1.26183,0.79986,0.69209,0.76241,0.36343,1.82717,1.03883,1.33465,0.0067132,0.0067132,0.0067132
85,1862.47,1.67745,1.05111,1.27199,0.80776,0.64494,0.73929,0.35353,1.8653,1.06464,1.3545,0.0066736,0.0066736,0.0066736
86,1883.93,1.67487,1.02089,1.24179,0.84138,0.68239,0.77357,0.36422,1.8618,1.02439,1.34996,0.006634,0.006634,0.006634
87,1905.62,1.68207,1.04012,1.23734,0.8303,0.67268,0.7666,0.36353,1.85331,1.03454,1.36702,0.0065944,0.0065944,0.0065944
88,1926.97,1.67823,1.03303,1.24777,0.86475,0.6562,0.75985,0.36677,1.83458,1.02631,1.3329,0.0065548,0.0065548,0.0065548
89,1949.68,1.67235,1.03261,1.22182,0.81501,0.64216,0.74659,0.3555,1.85106,1.06123,1.33742,0.0065152,0.0065152,0.0065152
90,1971.01,1.65864,1.01931,1.21487,0.84834,0.62065,0.73378,0.35511,1.84867,1.07006,1.36722,0.0064756,0.0064756,0.0064756
91,1993.32,1.65683,1.0158,1.24296,0.82185,0.67823,0.75698,0.36595,1.81447,1.02672,1.341,0.006436,0.006436,0.006436
92,2014.91,1.66509,1.01806,1.24598,0.84562,0.69764,0.78623,0.37088,1.82127,0.98091,1.34199,0.0063964,0.0063964,0.0063964
93,2035.94,1.67733,1.02479,1.25463,0.82089,0.67406,0.76654,0.36653,1.81867,1.02754,1.3306,0.0063568,0.0063568,0.0063568
94,2058.44,1.66615,1.02268,1.24274,0.79456,0.7081,0.76815,0.36662,1.81858,1.00211,1.32567,0.0063172,0.0063172,0.0063172
95,2079.89,1.64669,1.01772,1.23014,0.82227,0.68793,0.77063,0.3693,1.79994,0.99174,1.32699,0.0062776,0.0062776,0.0062776
96,2101.76,1.66796,1.04559,1.25771,0.79193,0.68098,0.76484,0.36896,1.82029,1.00701,1.33155,0.006238,0.006238,0.006238
97,2124.26,1.6517,1.00593,1.23063,0.81828,0.69071,0.77348,0.37265,1.81491,1.00394,1.33319,0.0061984,0.0061984,0.0061984
98,2146.24,1.64562,0.98225,1.21861,0.81312,0.68932,0.77523,0.37669,1.81344,0.99363,1.33274,0.0061588,0.0061588,0.0061588
99,2168.68,1.62958,0.96809,1.21791,0.82274,0.67822,0.7665,0.36758,1.83469,1.0048,1.35706,0.0061192,0.0061192,0.0061192
100,2189.81,1.64552,0.9764,1.22354,0.83001,0.69753,0.77505,0.37339,1.8001,0.99165,1.32206,0.0060796,0.0060796,0.0060796
101,2211.77,1.62103,0.96428,1.22723,0.82942,0.69071,0.77303,0.37327,1.80835,0.97228,1.33141,0.00604,0.00604,0.00604
102,2233.17,1.65115,0.99496,1.22706,0.79132,0.71529,0.76459,0.37522,1.81649,1.01181,1.33529,0.0060004,0.0060004,0.0060004
103,2254.35,1.62493,0.97166,1.22495,0.81368,0.68932,0.77906,0.38497,1.78434,0.99426,1.31107,0.0059608,0.0059608,0.0059608
104,2276.17,1.63234,0.99005,1.22462,0.84139,0.69159,0.78068,0.38044,1.81998,0.97386,1.33751,0.0059212,0.0059212,0.0059212
105,2299.03,1.62609,0.96445,1.21962,0.83401,0.68295,0.77192,0.37669,1.80693,1.01284,1.33124,0.0058816,0.0058816,0.0058816
106,2320.31,1.62078,0.9523,1.21578,0.8248,0.70458,0.772,0.36921,1.82175,0.98896,1.33297,0.005842,0.005842,0.005842
107,2341.74,1.60931,0.93971,1.22129,0.82705,0.69209,0.78435,0.37974,1.82175,0.99386,1.32727,0.0058024,0.0058024,0.0058024
108,2363.2,1.61723,0.96504,1.21207,0.8226,0.69071,0.78561,0.37591,1.826,0.97169,1.34391,0.0057628,0.0057628,0.0057628
109,2385.16,1.59316,0.93347,1.20134,0.81174,0.69371,0.78669,0.3849,1.80909,0.96986,1.3269,0.0057232,0.0057232,0.0057232
110,2406.82,1.59179,0.94477,1.20954,0.81167,0.72677,0.79385,0.38037,1.80692,0.95666,1.32794,0.0056836,0.0056836,0.0056836
111,2428.44,1.59738,0.93872,1.19649,0.82663,0.68777,0.77482,0.37697,1.82587,0.98238,1.32827,0.005644,0.005644,0.005644
112,2450.12,1.59757,0.94423,1.20526,0.8532,0.69209,0.78399,0.37681,1.81601,0.99109,1.32734,0.0056044,0.0056044,0.0056044
113,2471.69,1.59953,0.93831,1.21489,0.82751,0.72122,0.80142,0.38448,1.81316,0.97065,1.32757,0.0055648,0.0055648,0.0055648
114,2493.5,1.59728,0.94205,1.20068,0.81843,0.72518,0.79521,0.37883,1.80832,0.9644,1.32578,0.0055252,0.0055252,0.0055252
115,2516.5,1.59788,0.92822,1.19742,0.84468,0.71151,0.79581,0.37384,1.84666,0.96644,1.33707,0.0054856,0.0054856,0.0054856
116,2541.97,1.57294,0.92677,1.19451,0.8506,0.71567,0.80216,0.38332,1.80481,0.96241,1.32257,0.005446,0.005446,0.005446
117,2564.86,1.57751,0.93584,1.19665,0.85108,0.7134,0.80412,0.38523,1.82147,0.93265,1.33988,0.0054064,0.0054064,0.0054064
118,2587.35,1.59616,0.93397,1.2106,0.83119,0.70735,0.79658,0.38597,1.79518,0.94769,1.31911,0.0053668,0.0053668,0.0053668
119,2611.86,1.57493,0.90932,1.19577,0.79245,0.74341,0.7969,0.38195,1.79621,0.95153,1.31683,0.0053272,0.0053272,0.0053272
120,2633.66,1.5587,0.91749,1.1969,0.85815,0.70319,0.80086,0.38805,1.80482,0.94735,1.32361,0.0052876,0.0052876,0.0052876
121,2655.55,1.57388,0.89855,1.18374,0.86264,0.67684,0.79248,0.38031,1.81031,0.96201,1.33609,0.005248,0.005248,0.005248
122,2678.86,1.55447,0.89263,1.18454,0.83048,0.72122,0.78807,0.37548,1.82675,0.96138,1.33647,0.0052084,0.0052084,0.0052084
