epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9827,5.0749,6.67126,4.19167,0,0,0,0,5.67778,4.36421,3.93033,0.070566,0.00327044,0.00327044
2,50.635,4.33682,4.25428,3.30922,0,0,0,0,5.55617,4.67003,3.83311,0.0405333,0.00657108,0.00657108
3,73.92,3.7976,3.84564,2.66917,0.00253,0.01803,0.00132,0.00034,4.68031,7.70051,13.9314,0.0104677,0.00983873,0.00983873
4,96.0456,3.47644,3.58075,2.37461,0.00886,0.02774,0.00128,0.00036,4.15309,6.41513,3.99116,0.0098515,0.0098515,0.0098515
5,117.392,3.21251,3.24101,2.15516,0.17208,0.01248,0.01677,0.00495,3.68229,4.72597,2.77491,0.009802,0.009802,0.009802
6,139.657,2.9355,2.89983,2.00251,0.22708,0.19279,0.11119,0.03369,2.94226,3.84417,2.17148,0.0097525,0.0097525,0.0097525
7,161.245,2.83331,2.70489,1.89419,0.33142,0.23301,0.17021,0.05667,2.71058,3.14736,1.91213,0.009703,0.009703,0.009703
8,183.018,2.67602,2.47192,1.81823,0.4481,0.20157,0.19975,0.08048,2.60983,2.98672,1.83619,0.0096535,0.0096535,0.0096535
9,204.535,2.55744,2.28636,1.72991,0.25873,0.23717,0.14342,0.05027,2.66191,3.27586,1.95164,0.009604,0.009604,0.009604
10,226.479,2.52053,2.28494,1.72557,0.56685,0.32039,0.35861,0.14527,2.47861,2.00828,1.75338,0.0095545,0.0095545,0.0095545
11,248.04,2.45308,2.162,1.68063,0.60425,0.29404,0.3556,0.15034,2.38448,1.9913,1.71509,0.009505,0.009505,0.009505
12,270.647,2.38146,2.04333,1.65109,0.58756,0.29126,0.3522,0.14588,2.37827,1.97187,1.69095,0.0094555,0.0094555,0.0094555
13,292.764,2.29434,1.95144,1.60147,0.51986,0.39112,0.40462,0.1551,2.35301,1.92568,1.65404,0.009406,0.009406,0.009406
14,315.943,2.29723,1.94164,1.59712,0.54799,0.39528,0.40746,0.16076,2.26795,1.93025,1.60727,0.0093565,0.0093565,0.0093565
15,337.622,2.29607,1.91,1.5715,0.63749,0.41331,0.45649,0.1848,2.19223,1.78318,1.58484,0.009307,0.009307,0.009307
16,359.783,2.18899,1.80764,1.52544,0.68281,0.43551,0.49322,0.18977,2.24516,1.71799,1.60626,0.0092575,0.0092575,0.0092575
17,381.537,2.19098,1.78282,1.53074,0.65674,0.45076,0.50583,0.20188,2.1628,1.76797,1.57201,0.009208,0.009208,0.009208
18,403.512,2.17226,1.7412,1.52567,0.70309,0.43828,0.49724,0.19751,2.14161,1.71057,1.54666,0.0091585,0.0091585,0.0091585
19,424.984,2.1394,1.7134,1.49359,0.68811,0.45215,0.52272,0.23004,2.07868,1.61089,1.50579,0.009109,0.009109,0.009109
20,447.105,2.12495,1.67509,1.48581,0.70264,0.49376,0.55713,0.23393,2.11637,1.56272,1.52545,0.0090595,0.0090595,0.0090595
21,468.848,2.12653,1.65717,1.48313,0.6417,0.44799,0.49646,0.19834,2.15911,1.64442,1.57583,0.00901,0.00901,0.00901
22,490.688,2.10044,1.63438,1.47029,0.60409,0.43273,0.48545,0.21371,2.1451,1.65534,1.56521,0.0089605,0.0089605,0.0089605
23,512.349,2.07009,1.59114,1.46958,0.72258,0.49491,0.57675,0.24582,2.07561,1.52871,1.51251,0.008911,0.008911,0.008911
24,534.202,2.06678,1.56734,1.4593,0.63415,0.49792,0.55145,0.23585,2.08514,1.48851,1.51011,0.0088615,0.0088615,0.0088615
25,556.151,2.06702,1.6005,1.48027,0.7298,0.48325,0.5809,0.24744,2.09702,1.4711,1.53196,0.008812,0.008812,0.008812
26,579.075,2.02524,1.5157,1.4269,0.7444,0.50208,0.57368,0.25127,2.09005,1.51325,1.5215,0.0087625,0.0087625,0.0087625
27,600.994,2.06475,1.55275,1.44667,0.74808,0.47295,0.56617,0.2446,2.02682,1.50475,1.47704,0.008713,0.008713,0.008713
28,622.549,2.0296,1.52099,1.45179,0.74928,0.51813,0.59893,0.26303,2.00988,1.44672,1.45615,0.0086635,0.0086635,0.0086635
29,644.319,2.01596,1.49124,1.40957,0.77741,0.50763,0.60789,0.27256,2.02551,1.3815,1.47412,0.008614,0.008614,0.008614
30,666.418,2.01077,1.49439,1.44396,0.70809,0.5215,0.59345,0.26346,2.04876,1.43469,1.49778,0.0085645,0.0085645,0.0085645
31,688.115,1.98332,1.43818,1.40596,0.7089,0.48405,0.55474,0.24481,2.09356,1.49154,1.49088,0.008515,0.008515,0.008515
32,709.765,1.98198,1.45839,1.40096,0.75297,0.51153,0.60619,0.26019,2.04563,1.39612,1.48891,0.0084655,0.0084655,0.0084655
33,731.263,1.97781,1.43435,1.4108,0.68744,0.51872,0.57291,0.2646,2.01941,1.42081,1.48091,0.008416,0.008416,0.008416
34,753.2,1.99431,1.45781,1.41085,0.77581,0.51456,0.62077,0.27164,1.99199,1.35681,1.45444,0.0083665,0.0083665,0.0083665
35,775.075,1.94466,1.40918,1.39243,0.77341,0.53121,0.62381,0.28042,1.98404,1.33237,1.44677,0.008317,0.008317,0.008317
