epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6412,5.12095,7.82081,4.38899,0,0,0,0,5.68676,5.03256,4.05325,0.070566,0.00327044,0.00327044
2,51.9147,4.56266,4.74706,3.7058,0,0,0,0,5.59207,4.47451,3.99568,0.0405333,0.00657108,0.00657108
3,76.1312,3.82455,3.97551,2.70336,0.0018,0.11891,0.00106,0.00028,3.77239,110.223,3.49163,0.0104677,0.00983873,0.00983873
4,99.0195,3.52053,3.68566,2.39866,0.01601,0.02865,0.00247,0.00062,3.57936,8.49574,2.53714,0.0098515,0.0098515,0.0098515
5,121.629,3.24245,3.3857,2.16951,0.06299,0.06304,0.01418,0.00356,3.16698,4.6329,2.1991,0.009802,0.009802,0.009802
6,145.3,3.01993,3.06254,1.99952,0.16889,0.09169,0.04812,0.01542,3.17161,4.09673,2.08466,0.0097525,0.0097525,0.0097525
7,167.814,2.82336,2.79196,1.88939,0.27466,0.14613,0.10754,0.03432,2.91845,7.68314,2.24214,0.009703,0.009703,0.009703
8,190.531,2.69075,2.57771,1.81291,0.62469,0.19054,0.23159,0.09567,2.64095,2.93314,1.87804,0.0096535,0.0096535,0.0096535
9,213.282,2.5074,2.35982,1.7051,0.45736,0.25358,0.2564,0.08971,2.84587,2.98643,2.06722,0.009604,0.009604,0.009604
10,237.022,2.4743,2.30349,1.70985,0.65143,0.22779,0.28132,0.11422,2.56647,2.38886,1.80736,0.0095545,0.0095545,0.0095545
11,259.554,2.43839,2.21989,1.67812,0.56704,0.28653,0.3077,0.12471,2.51582,2.27367,1.79064,0.009505,0.009505,0.009505
12,283.568,2.39944,2.13763,1.6274,0.57861,0.32378,0.36679,0.16206,2.31213,2.22552,1.70125,0.0094555,0.0094555,0.0094555
13,305.823,2.34362,2.03293,1.59076,0.60361,0.29083,0.33444,0.13634,2.44928,2.16238,1.73296,0.009406,0.009406,0.009406
14,329.984,2.32098,2.03459,1.61885,0.57117,0.36255,0.39113,0.15896,2.26233,1.95567,1.62602,0.0093565,0.0093565,0.0093565
15,353.754,2.29144,2.00061,1.60682,0.58271,0.36676,0.40628,0.17499,2.28196,1.9661,1.64144,0.009307,0.009307,0.009307
16,377.231,2.25582,1.93396,1.55501,0.58836,0.3467,0.40358,0.17394,2.2978,1.9416,1.67501,0.0092575,0.0092575,0.0092575
17,400.162,2.193,1.84343,1.51916,0.66747,0.40544,0.46449,0.20906,2.20101,1.76638,1.59207,0.009208,0.009208,0.009208
18,422.943,2.19986,1.84736,1.51498,0.6814,0.41059,0.45955,0.20898,2.1877,1.81261,1.58482,0.0091585,0.0091585,0.0091585
19,446.335,2.18957,1.8098,1.52554,0.68317,0.40688,0.47025,0.19819,2.14208,1.77843,1.56677,0.009109,0.009109,0.009109
20,469.377,2.15671,1.77245,1.50737,0.63816,0.39669,0.467,0.1923,2.23022,1.74194,1.6347,0.0090595,0.0090595,0.0090595
21,492.478,2.12989,1.75046,1.48806,0.70512,0.44269,0.50936,0.22373,2.13371,1.63062,1.55496,0.00901,0.00901,0.00901
22,515.513,2.16572,1.75298,1.50379,0.62043,0.39542,0.46314,0.17267,2.24536,1.72064,1.59097,0.0089605,0.0089605,0.0089605
23,538.722,2.15343,1.73071,1.50171,0.71501,0.4298,0.49761,0.22447,2.12512,1.67016,1.52989,0.008911,0.008911,0.008911
24,561.687,2.13412,1.71448,1.48828,0.70944,0.44842,0.52107,0.21525,2.15037,1.62999,1.56291,0.0088615,0.0088615,0.0088615
25,584.372,2.10982,1.692,1.48129,0.75712,0.46418,0.55672,0.23846,2.05312,1.55129,1.51027,0.008812,0.008812,0.008812
26,608.094,2.08332,1.59294,1.4551,0.73475,0.44413,0.53672,0.24016,2.06723,1.54515,1.49392,0.0087625,0.0087625,0.0087625
27,631.028,2.0288,1.59434,1.42367,0.7412,0.45545,0.54595,0.24404,2.04078,1.58495,1.48755,0.008713,0.008713,0.008713
28,654.199,2.04362,1.58752,1.43961,0.69437,0.43983,0.51214,0.22633,2.09241,1.58108,1.55514,0.0086635,0.0086635,0.0086635
29,677.251,2.04829,1.58265,1.42685,0.7822,0.46306,0.56393,0.25633,1.99932,1.52964,1.46063,0.008614,0.008614,0.008614
30,700.019,2.01328,1.55444,1.4051,0.75972,0.4914,0.5872,0.25857,2.00823,1.47108,1.48796,0.0085645,0.0085645,0.0085645
31,723.059,2.01096,1.5315,1.42594,0.7222,0.47135,0.54969,0.24491,2.01504,1.51363,1.49006,0.008515,0.008515,0.008515
32,746.253,1.99601,1.55557,1.41259,0.79642,0.48711,0.57625,0.25449,2.0396,1.47587,1.4914,0.0084655,0.0084655,0.0084655
33,768.885,2.00129,1.49547,1.41823,0.72901,0.48997,0.56945,0.25395,2.05507,1.46118,1.52963,0.008416,0.008416,0.008416
34,792.419,1.98,1.50467,1.40091,0.73771,0.49427,0.58575,0.26697,1.99187,1.46698,1.47305,0.0083665,0.0083665,0.0083665
35,815.287,1.98439,1.47569,1.40873,0.77739,0.50143,0.58801,0.26844,2.01885,1.44264,1.47066,0.008317,0.008317,0.008317
