epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0642,5.32335,8.92516,4.49107,0,0,0,0,5.64835,4.40699,4.00479,0.070566,0.00327044,0.00327044
2,52.0764,4.61967,4.57195,3.65966,0,0,0,0,5.57445,4.56055,3.93784,0.0405333,0.00657108,0.00657108
3,76.2654,3.89888,3.96069,2.73267,0.00714,0.05874,0.00244,0.00069,3.76351,18.656,2.86845,0.0104677,0.00983873,0.00983873
4,99,3.51799,3.60198,2.42414,0.02623,0.02292,0.00383,0.00124,4.14392,4.02171,3.07592,0.0098515,0.0098515,0.0098515
5,122.552,3.23705,3.23268,2.16419,0.07851,0.0616,0.01585,0.00354,3.20498,4.68016,2.33502,0.009802,0.009802,0.009802
6,146.213,3.00494,2.93452,1.98112,0.38456,0.1533,0.13938,0.05415,2.82294,2.76974,2.01768,0.0097525,0.0097525,0.0097525
7,169.053,2.82339,2.70893,1.90783,0.30624,0.17622,0.13905,0.04282,3.05007,3.89501,2.15785,0.009703,0.009703,0.009703
8,191.721,2.68812,2.5225,1.80375,0.38837,0.21633,0.18285,0.06734,2.80858,2.7644,1.92833,0.0096535,0.0096535,0.0096535
9,215.198,2.55264,2.33303,1.70035,0.48272,0.20487,0.19935,0.08609,2.64628,3.39611,1.84883,0.009604,0.009604,0.009604
10,238.484,2.50746,2.2942,1.68739,0.40606,0.24069,0.23722,0.09918,2.46679,2.9569,1.71831,0.0095545,0.0095545,0.0095545
11,261.628,2.4689,2.23455,1.66188,0.42581,0.30372,0.29477,0.12059,2.44931,2.18741,1.69323,0.009505,0.009505,0.009505
12,284.977,2.43084,2.15882,1.6041,0.59841,0.30086,0.33465,0.15158,2.37261,2.17079,1.64304,0.0094555,0.0094555,0.0094555
13,308.399,2.35102,2.0605,1.57274,0.64253,0.34384,0.39846,0.18177,2.28925,2.03428,1.59084,0.009406,0.009406,0.009406
14,332.012,2.33717,2.03735,1.56903,0.59502,0.37048,0.39487,0.16638,2.31328,1.91186,1.59849,0.0093565,0.0093565,0.0093565
15,356.109,2.30128,1.96524,1.55664,0.58737,0.39828,0.43129,0.18902,2.22015,2.03281,1.54961,0.009307,0.009307,0.009307
16,379.771,2.27741,1.94823,1.52229,0.61746,0.37679,0.38188,0.15638,2.25006,1.94851,1.58049,0.0092575,0.0092575,0.0092575
17,402.989,2.2108,1.87206,1.49898,0.66618,0.38539,0.44649,0.20865,2.1736,1.77617,1.52136,0.009208,0.009208,0.009208
