epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5484,5.19107,8.09519,4.27869,0,0,0,0,5.68783,4.28547,4.05372,0.070566,0.00327044,0.00327044
2,50.9418,4.47837,4.58884,3.52452,0,0,0,0,4.90456,4.44133,3.53866,0.0405333,0.00657108,0.00657108
3,74.4888,3.77513,3.92885,2.70313,0.00121,0.24642,0.00076,0.00023,3.88855,inf,4.03943,0.0104677,0.00983873,0.00983873
4,96.5874,3.50011,3.65974,2.39655,0.02015,0.01719,0.00437,0.00112,3.83883,4.35427,3.45109,0.0098515,0.0098515,0.0098515
5,119.852,3.16506,3.23008,2.12805,0.02644,0.03295,0.00546,0.00115,3.45339,9.85942,2.5783,0.009802,0.009802,0.009802
6,142.537,2.94528,2.89779,1.9524,0.29013,0.15341,0.12037,0.04879,2.94307,3.34892,2.14203,0.0097525,0.0097525,0.0097525
7,165.001,2.78434,2.64932,1.8663,0.34195,0.20917,0.17287,0.0609,2.85754,3.26365,2.05348,0.009703,0.009703,0.009703
8,187.415,2.63738,2.45934,1.77929,0.57156,0.23127,0.26412,0.10909,2.58202,2.44231,1.78662,0.0096535,0.0096535,0.0096535
9,209.849,2.50404,2.27951,1.68989,0.5112,0.23496,0.25309,0.10114,2.5869,2.54273,1.82639,0.009604,0.009604,0.009604
10,232.496,2.46404,2.23601,1.69286,0.61358,0.31232,0.35229,0.15205,2.43243,2.2882,1.75053,0.0095545,0.0095545,0.0095545
11,254.403,2.41841,2.17308,1.66378,0.5959,0.28223,0.30507,0.13155,2.42592,2.36282,1.70334,0.009505,0.009505,0.009505
12,278.045,2.37659,2.05802,1.61122,0.59197,0.3553,0.38785,0.15892,2.30359,2.06004,1.67279,0.0094555,0.0094555,0.0094555
13,299.91,2.30711,1.97156,1.56723,0.66225,0.34552,0.403,0.17197,2.27871,1.9514,1.61975,0.009406,0.009406,0.009406
14,322.969,2.26693,1.98087,1.594,0.59187,0.36246,0.39489,0.17275,2.23324,1.95615,1.6123,0.0093565,0.0093565,0.0093565
15,346.097,2.26339,1.93545,1.59646,0.68452,0.38235,0.43516,0.18136,2.18843,1.89416,1.59519,0.009307,0.009307,0.009307
16,368.622,2.21795,1.85966,1.53016,0.54926,0.39112,0.39853,0.16787,2.19693,1.9599,1.59744,0.0092575,0.0092575,0.0092575
17,391.164,2.15917,1.78067,1.50156,0.68265,0.4222,0.4785,0.21519,2.15254,1.75277,1.53998,0.009208,0.009208,0.009208
18,413.359,2.18736,1.77249,1.50073,0.712,0.39398,0.46451,0.21019,2.17122,1.76759,1.56719,0.0091585,0.0091585,0.0091585
19,436.251,2.16769,1.73307,1.51694,0.62244,0.42041,0.48204,0.21416,2.11458,1.6904,1.52393,0.009109,0.009109,0.009109
20,458.735,2.12954,1.71694,1.49113,0.70681,0.44413,0.52595,0.22458,2.10506,1.69351,1.53489,0.0090595,0.0090595,0.0090595
21,481.184,2.09949,1.67964,1.46996,0.72395,0.47135,0.54661,0.23855,2.07165,1.58564,1.50739,0.00901,0.00901,0.00901
22,504.372,2.12503,1.69067,1.4805,0.59791,0.3553,0.40847,0.19224,2.18244,1.95681,1.56842,0.0089605,0.0089605,0.0089605
23,526.621,2.09792,1.66227,1.46923,0.7405,0.44699,0.51776,0.22473,2.11502,1.65835,1.54897,0.008911,0.008911,0.008911
24,549.257,2.10592,1.65238,1.47197,0.6794,0.49488,0.5412,0.2406,2.12726,1.57789,1.53914,0.0088615,0.0088615,0.0088615
25,571.313,2.08513,1.65583,1.46983,0.70812,0.47564,0.5476,0.24411,2.09737,1.55307,1.51793,0.008812,0.008812,0.008812
26,594.493,2.05174,1.56336,1.43522,0.74785,0.49427,0.57547,0.25955,2.06191,1.5059,1.50883,0.0087625,0.0087625,0.0087625
27,616.733,1.99698,1.5472,1.41171,0.69864,0.49488,0.56368,0.26293,2.04754,1.48343,1.52131,0.008713,0.008713,0.008713
28,639.122,2.02858,1.55505,1.43299,0.78866,0.46275,0.56028,0.24684,2.10081,1.53319,1.5485,0.0086635,0.0086635,0.0086635
29,662.082,2.01701,1.54154,1.41752,0.64548,0.43266,0.49177,0.23398,2.0774,1.57419,1.5191,0.008614,0.008614,0.008614
30,684.574,2.01673,1.50589,1.39716,0.74367,0.51957,0.58798,0.27005,1.98341,1.47299,1.45312,0.0085645,0.0085645,0.0085645
31,706.664,2.00047,1.48061,1.42571,0.70692,0.48424,0.54934,0.25335,2.0352,1.52008,1.51347,0.008515,0.008515,0.008515
32,729.275,2.00066,1.5289,1.40941,0.74602,0.47851,0.57473,0.26943,1.99312,1.47374,1.46422,0.0084655,0.0084655,0.0084655
33,751.187,1.98058,1.47255,1.40111,0.75575,0.52865,0.59951,0.27637,1.97603,1.37006,1.4488,0.008416,0.008416,0.008416
34,773.829,1.97354,1.44308,1.39445,0.78123,0.50287,0.59935,0.28142,1.95922,1.41745,1.44542,0.0083665,0.0083665,0.0083665
35,796.388,1.96228,1.45625,1.39749,0.79407,0.53725,0.62079,0.28594,1.99131,1.35095,1.45456,0.008317,0.008317,0.008317
36,818.715,1.94693,1.40699,1.39343,0.75167,0.53152,0.61174,0.28745,1.94368,1.37637,1.43763,0.0082675,0.0082675,0.0082675
37,841.187,1.95839,1.41027,1.38592,0.74987,0.55158,0.61999,0.28745,1.96759,1.38881,1.45303,0.008218,0.008218,0.008218
