epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7691,5.22435,8.39349,4.43005,0,0,0,0,5.69225,5.09483,4.05264,0.070566,0.00327044,0.00327044
2,51.2887,4.59558,4.69721,3.7105,0,0,0,0,5.66397,4.55879,4.04103,0.0405333,0.00657108,0.00657108
3,74.6065,3.90325,3.95889,2.74443,0.00365,0.06877,0.00172,0.00047,3.61929,inf,2.93805,0.0104677,0.00983873,0.00983873
4,96.5807,3.53902,3.68307,2.40541,3e-05,0.00716,2e-05,0,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,119.002,3.21415,3.27373,2.14764,0.29794,0.16905,0.14413,0.05152,2.91148,3.68868,2.06795,0.009802,0.009802,0.009802
6,141.575,2.92802,2.87411,1.95562,0.26358,0.18195,0.13436,0.05325,3.1063,3.63272,2.30321,0.0097525,0.0097525,0.0097525
7,163.602,2.74732,2.61386,1.8622,0.36154,0.16619,0.16865,0.07309,2.77652,3.30328,1.96551,0.009703,0.009703,0.009703
8,185.491,2.66055,2.50246,1.80023,0.49118,0.26648,0.27747,0.10306,2.67574,2.93265,1.95133,0.0096535,0.0096535,0.0096535
9,208.401,2.49226,2.26543,1.68319,0.47564,0.19914,0.22196,0.09399,2.72343,4.49649,1.94635,0.009604,0.009604,0.009604
10,230.783,2.45049,2.2229,1.68013,0.47093,0.31754,0.33109,0.14023,2.38732,2.0818,1.70292,0.0095545,0.0095545,0.0095545
11,252.832,2.40668,2.14903,1.65109,0.60139,0.33095,0.36333,0.15158,2.3806,2.02812,1.67035,0.009505,0.009505,0.009505
12,275.88,2.34891,2.05769,1.59557,0.61598,0.3596,0.40089,0.17808,2.25686,2.13111,1.61298,0.0094555,0.0094555,0.0094555
13,298.101,2.29948,1.97982,1.56733,0.63206,0.34527,0.39512,0.1861,2.26897,2.17851,1.62328,0.009406,0.009406,0.009406
14,320.959,2.2635,1.96913,1.5757,0.54186,0.33811,0.37977,0.15577,2.29804,1.9622,1.65081,0.0093565,0.0093565,0.0093565
15,343.803,2.24456,1.91817,1.56388,0.67017,0.38968,0.45345,0.20145,2.23147,1.85739,1.58469,0.009307,0.009307,0.009307
