epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6301,5.18998,8.34075,4.40424,0,0,0,0,5.69732,5.09554,4.05501,0.070566,0.00327044,0.00327044
2,51.7924,4.51013,4.72352,3.68232,0,0,0,0,5.63996,4.58303,3.99708,0.0405333,0.00657108,0.00657108
3,75.4338,3.82109,3.94943,2.69556,0.00368,0.0616,0.00183,0.00049,3.68765,8.377,2.82908,0.0104677,0.00983873,0.00983873
4,97.8137,3.45862,3.64602,2.34392,0.0021,0.04011,0.00058,0.00014,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,120.16,3.23398,3.2878,2.14449,0.00088,0.0043,0.00029,8e-05,3.84016,inf,4.15554,0.009802,0.009802,0.009802
6,142.677,3.04417,2.98975,1.99637,0.39581,0.19054,0.1612,0.05716,2.77947,4.21453,2.04282,0.0097525,0.0097525,0.0097525
7,164.64,2.81737,2.74582,1.8794,0.47359,0.21203,0.21726,0.09338,2.72059,3.00343,1.94582,0.009703,0.009703,0.009703
8,186.883,2.66235,2.52247,1.77785,0.39389,0.25358,0.23623,0.08867,2.60453,2.75692,1.81296,0.0096535,0.0096535,0.0096535
9,208.967,2.51833,2.30217,1.66664,0.37108,0.16619,0.1529,0.05209,2.86528,4.70457,2.03702,0.009604,0.009604,0.009604
10,231.776,2.45495,2.2569,1.65716,0.32348,0.18481,0.15976,0.06223,2.58535,2.48131,1.76089,0.0095545,0.0095545,0.0095545
11,253.9,2.41246,2.17027,1.61559,0.53971,0.28797,0.3034,0.11764,2.44728,2.30547,1.71218,0.009505,0.009505,0.009505
12,277.594,2.33781,2.06642,1.56168,0.58303,0.33095,0.3734,0.16879,2.3279,2.0888,1.63873,0.0094555,0.0094555,0.0094555
13,299.552,2.29602,1.98555,1.53355,0.62747,0.36963,0.41403,0.1768,2.28178,1.99198,1.61582,0.009406,0.009406,0.009406
14,322.857,2.2726,1.98399,1.54435,0.56142,0.31805,0.36093,0.15567,2.26303,2.0705,1.59108,0.0093565,0.0093565,0.0093565
15,345.781,2.2284,1.90851,1.51678,0.62729,0.39685,0.41915,0.17035,2.31377,1.99698,1.63827,0.009307,0.009307,0.009307
16,368.299,2.21052,1.87694,1.49713,0.55885,0.38839,0.40621,0.18124,2.20227,1.89235,1.57863,0.0092575,0.0092575,0.0092575
17,391.221,2.17398,1.81057,1.475,0.7239,0.39971,0.47638,0.21112,2.16593,1.73238,1.53087,0.009208,0.009208,0.009208
18,413.015,2.17866,1.80763,1.45483,0.6251,0.38459,0.43534,0.19123,2.17483,1.83097,1.53459,0.0091585,0.0091585,0.0091585
19,436.389,2.16728,1.75663,1.46998,0.6484,0.44126,0.48969,0.21552,2.13188,1.73765,1.4988,0.009109,0.009109,0.009109
20,459.952,2.10995,1.72779,1.4411,0.63749,0.43983,0.49714,0.21972,2.12364,1.72877,1.53378,0.0090595,0.0090595,0.0090595
21,483.34,2.08886,1.68808,1.41606,0.63683,0.46132,0.49178,0.21223,2.13889,1.68408,1.50508,0.00901,0.00901,0.00901
22,506.134,2.08445,1.68785,1.41364,0.72322,0.40974,0.50216,0.23001,2.09209,1.65503,1.47193,0.0089605,0.0089605,0.0089605
23,529.098,2.09492,1.67094,1.41084,0.62628,0.46562,0.49909,0.22331,2.07162,1.69517,1.45748,0.008911,0.008911,0.008911
