epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2203,5.04799,8.80941,4.46801,0,0,0,0,5.60904,4.97059,4.08317,0.0766,0.0026,0.0026
2,135.851,4.63075,4.6712,3.94908,0,0,0,0,5.51355,4.49283,3.96741,0.0522738,0.00527376,0.00527376
3,167.722,3.98938,3.9338,3.04569,0,0,0,0,5.47766,4.85661,3.96198,0.0279208,0.0079208,0.0079208
4,196.007,3.61097,3.62689,2.52529,0.01578,0.03152,0.00369,0.00091,3.79152,54.6363,2.82928,0.0098515,0.0098515,0.0098515
5,222.785,3.20741,3.25815,2.178,0.0088,0.02006,0.0018,0.00042,3.88926,5.28922,2.86339,0.009802,0.009802,0.009802
6,245.162,2.86919,2.8238,1.94786,0.0409,0.09169,0.0185,0.00439,3.34136,39.3583,2.65782,0.0097525,0.0097525,0.0097525
7,273.732,2.68259,2.51659,1.80294,0.34889,0.17049,0.13886,0.05827,2.72306,5.74657,1.93512,0.009703,0.009703,0.009703
8,307.855,2.61841,2.43051,1.74149,0.46012,0.2235,0.22085,0.09196,2.58053,2.55484,1.90511,0.0096535,0.0096535,0.0096535
9,355.379,2.48215,2.26856,1.72071,0.7186,0.18625,0.20821,0.06412,2.92143,4.32625,2.08027,0.009604,0.009604,0.009604
10,391.696,2.36826,2.11784,1.62625,0.55253,0.25828,0.29823,0.13086,2.46051,2.35373,1.85513,0.0095545,0.0095545,0.0095545
11,433.196,2.36908,2.05681,1.61527,0.5623,0.29656,0.32947,0.14005,2.36056,2.57857,1.69487,0.009505,0.009505,0.009505
12,474.74,2.31439,1.99856,1.60086,0.31679,0.25072,0.17251,0.06326,2.47842,2.95707,1.84909,0.0094555,0.0094555,0.0094555
13,526.847,2.29724,1.94416,1.5872,0.63671,0.36246,0.42968,0.17924,2.27842,1.87939,1.66049,0.009406,0.009406,0.009406
14,568.361,2.21524,1.86249,1.56135,0.51601,0.34097,0.37034,0.1572,2.26435,1.97426,1.65263,0.0093565,0.0093565,0.0093565
15,609.789,2.23525,1.86564,1.54962,0.56747,0.36676,0.4027,0.17539,2.17498,1.84422,1.59983,0.009307,0.009307,0.009307
16,656.088,2.21892,1.79792,1.52865,0.6985,0.33095,0.41113,0.17294,2.26576,1.83967,1.65886,0.0092575,0.0092575,0.0092575
17,693.641,2.19111,1.77042,1.51307,0.55792,0.35817,0.3852,0.1616,2.18673,2.04261,1.58006,0.009208,0.009208,0.009208
18,739.382,2.14309,1.69804,1.46676,0.67154,0.42472,0.48703,0.21848,2.13055,1.71005,1.53964,0.0091585,0.0091585,0.0091585
19,776.61,2.10825,1.65055,1.47091,0.6927,0.4212,0.49257,0.21193,2.20063,1.95259,1.59581,0.009109,0.009109,0.009109
20,818.028,2.10671,1.62643,1.47782,0.66659,0.46418,0.53999,0.23486,2.07786,1.57335,1.51635,0.0090595,0.0090595,0.0090595
21,858.332,2.0872,1.6119,1.44367,0.68969,0.49992,0.56321,0.24614,2.09765,1.5112,1.51856,0.00901,0.00901,0.00901
22,904.448,2.06614,1.54666,1.43488,0.68496,0.43266,0.51704,0.2229,2.0904,1.65627,1.51356,0.0089605,0.0089605,0.0089605
23,70.5028,2.04146,1.5666,1.43938,0.68401,0.43983,0.49782,0.21429,2.14552,1.59626,1.52726,0.008911,0.008911,0.008911
24,141.723,2.04412,1.54407,1.43762,0.72416,0.45989,0.54017,0.24266,2.04682,1.50346,1.48449,0.0088615,0.0088615,0.0088615
25,200.364,2.04727,1.52577,1.43491,0.75985,0.52149,0.59035,0.2692,2.01972,1.41256,1.48914,0.008812,0.008812,0.008812
26,251.727,2.02401,1.48845,1.42724,0.75007,0.50143,0.56835,0.2594,2.03151,1.51409,1.48114,0.0087625,0.0087625,0.0087625
27,299.528,1.99054,1.45492,1.40651,0.67936,0.47135,0.53666,0.23226,2.07278,1.51941,1.51193,0.008713,0.008713,0.008713
28,345.812,1.98369,1.44214,1.4098,0.71683,0.53295,0.57898,0.23148,2.20668,1.48647,1.58902,0.0086635,0.0086635,0.0086635
29,390.069,1.97476,1.37933,1.38175,0.75496,0.51146,0.59478,0.2694,1.99459,1.43039,1.46142,0.008614,0.008614,0.008614
30,442.226,1.96332,1.39859,1.37195,0.70826,0.54728,0.59336,0.2662,1.98447,1.46606,1.47493,0.0085645,0.0085645,0.0085645
31,491.271,1.94813,1.39436,1.39525,0.7615,0.57307,0.66125,0.2929,1.90321,1.35619,1.42607,0.008515,0.008515,0.008515
32,532.153,1.89043,1.33249,1.35359,0.78728,0.54011,0.62801,0.28119,1.95068,1.31328,1.45128,0.0084655,0.0084655,0.0084655
33,583.034,1.91508,1.34473,1.36232,0.72875,0.51862,0.59345,0.25568,2.06295,1.4362,1.48026,0.008416,0.008416,0.008416
34,631.609,1.90066,1.33207,1.36751,0.72342,0.52722,0.61107,0.27901,1.9681,1.36433,1.45361,0.0083665,0.0083665,0.0083665
35,679.04,1.90204,1.30838,1.35803,0.72119,0.5,0.57677,0.26002,1.99949,1.35946,1.45941,0.008317,0.008317,0.008317
